Title,Status,Summary,Notice Type,Approval Number,Executing Agency,Contractor Name,Address,Total Contract Amount (US$),Contract Amount Financed by ADB (US$)
Monitoring & Evaluation (M&E) Specialist,Status: Closed Deadline: 02 Oct 2021,54182-001; India; Public sector management; Posting date: 26 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Strategies for Financing Social Protection to Achieve Sustainable Development Goals in Developing Member Countries - Social Protection System Specialist (National),Status: Closed Deadline: 02 Oct 2021,50375-001; Regional; Public sector management; Posting date: 26 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Strategies for Financing Social Protection to Achieve Sustainable Development Goals in Developing Member Countries - Social Protection System Specialist (International),Status: Closed Deadline: 02 Oct 2021,50375-001; Regional; Public sector management; Posting date: 26 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Corporate Governance Expert,Status: Closed Deadline: 30 Sep 2021,54074-002; Viet Nam; Water and other urban infrastructure and services; Posting date: 25 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Administrative and Territorial Reform expert,Status: Closed Deadline: 01 Oct 2021,49088-001; Kyrgyz Republic; Public sector management; Posting date: 25 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Entrepreneurship development and SME support expert,Status: Closed Deadline: 01 Oct 2021,49088-001; Kyrgyz Republic; Public sector management; Posting date: 25 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Sustainable and Resilient Energy Sector Facility in Bangladesh (International ESMS Expert),Status: Closed Deadline: 01 Oct 2021,54108-001; Bangladesh; Energy; Posting date: 25 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Sustainable and Resilient Energy Sector Facility in Bangladesh (Environmental Impact Assessment),Status: Closed Deadline: 01 Oct 2021,54108-001; Bangladesh; Energy; Posting date: 25 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Public asset management expert,Status: Closed Deadline: 01 Oct 2021,49088-001; Kyrgyz Republic; Public sector management; Posting date: 25 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
PHI: Senior Vaccine Product Logistics Expert,Status: Closed Deadline: 01 Oct 2021,54079-001; Regional; Health; Posting date: 25 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Faecal Sludge Management Coordinator,Status: Closed Deadline: 06 Oct 2021,53266-001; Regional; Water and other urban infrastructure and services; Posting date: 25 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Contract Management Expert/ TA Coordinator,Status: Closed Deadline: 08 Oct 2021,54134-001; Armenia; Public sector management; Posting date: 25 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Inner Mongolia Sustainable Cross-Border Development Investment Program - Tranche 1,Status: Closed Deadline: 08 Oct 2021,"51192-002; China, Peoples Republic of; Industry and trade; Posting date: 25 Sep 2021",Firm - Consulting,Null,Null,Null,Null,Null,Null
Development of Baguio City Sanitation and Hygiene Behavior Change Communication Strategy and Action Plan,Status: Active Deadline: 02 Nov 2021,"54342-001; Regional, Bangladesh, Mongolia, Nepal, Pakistan, Philippines, Sri Lanka, Uzbekistan; Water and other urban infrastructure and services; Posting date: 25 Sep 2021",Firm - Consulting,Null,Null,Null,Null,Null,Null
Civil works for main buildings,Status: Awarded,42079-013; Viet Nam; Education; Contract date: 25 Sep 2021,Contracts Awarded,Loan 2750,Viet Nam Academy of Science and Technology,Joint Venture 36-VINACCO Vietnamese name: LD TONG CONG TY 36-CTCP VA TONG CONG TY XAY DUNG NONG NGHIEP VIET NAM-CTCP,No. 141 Ho Dac Di-Nam Dong-Dong Da Hanoi,"9,06,52,104.19","7,82,53,610.81"
Design component for main buildings,Status: Awarded,42079-013; Viet Nam; Education; Contract date: 25 Sep 2021,Contracts Awarded,Loan 2751,Viet Nam Academy of Science and Technology,Joint Venture 36-VINACCO Vietnamese name: LD TONG CONG TY 36-CTCP VA TONG CONG TY XAY DUNG NONG NGHIEP VIET NAM-CTCP,No. 141 Ho Dac Di-Nam Dong-Dong Da Hanoi,"9,06,52,104.19","16,09,984.44"
3749-INO: Advanced Knowledge and Skills for Sustainable Growth Project (CWM-02),Status: Active Deadline: 03 Nov 2021,50395-006; Indonesia; Education; Posting date: 24 Sep 2021,Invitation for Bids,3749,Null,Null,Null,Null,Null
PPP Audit Specialist,Status: Closed Deadline: 30 Sep 2021,45515-001; Philippines; Public sector management; Posting date: 24 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
LGU PPP Infrastructure Specialist,Status: Closed Deadline: 30 Sep 2021,45515-001; Philippines; Public sector management; Posting date: 24 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
"TA 55208-001 REG: IDD Analyst for Infrastructure Sector Projects in the Central, West and South Asia Regions (2021-A)",Status: Closed Deadline: 30 Sep 2021,"55208-001; Regional, Afghanistan, Armenia, Azerbaijan, Bangladesh, Bhutan, Georgia, India, Kazakhstan, Kyrgyz Republic, Nepal, Pakistan, Sri Lanka, Tajikistan, Turkmenistan, Uzbekistan; Energy; Posting date: 24 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Project Finance Specialist,Status: Closed Deadline: 30 Sep 2021,45515-001; Philippines; Public sector management; Posting date: 24 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
JV Specialist,Status: Closed Deadline: 30 Sep 2021,45515-001; Philippines; Public sector management; Posting date: 24 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
State-Owned Enterprise Expert,Status: Closed Deadline: 30 Sep 2021,"53072-001; Regional, Cook Islands, Fiji, Micronesia, Federated States of, Kiribati, Nauru, Niue, Palau, Papua New Guinea, Marshall Islands, Samoa, Solomon Islands, Tonga, Tuvalu, Vanuatu; Finance; Posting date: 24 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Enhancing Tax Transparency of ADB Developing Member Countries,Status: Closed Deadline: 21 Oct 2021,"51320-001; Regional, Bhutan, Cambodia, Lao Peoples Democratic Republic, Maldives, Nepal, Marshall Islands, Samoa, Solomon Islands, Tajikistan, Thailand, Tonga, Vanuatu; Public sector management; Posting date: 24 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
"TRAININGS ON EFFECTIVE MULTI-DISCIPLINARY RESPONSE AND LAW ENFORCEMENT PROCEDURES, CROSS-SECTORAL COORDINATION AND PSYCHOLOGICAL COUNSELLING FOR KEY STAKEHOLDERS",Status: Closed Deadline: 23 Oct 2021,51217-001; Mongolia; Public sector management; Posting date: 24 Sep 2021,Firm - Consulting,Null,Null,Null,Null,Null,Null
Consulting Services for Project Final Survey,Status: Closed Deadline: 23 Oct 2021,"47300-002; Lao Peoples Democratic Republic; Agriculture, natural resources and rural development; Posting date: 24 Sep 2021",Firm - Consulting,Null,Null,Null,Null,Null,Null
TRTA,Status: Awarded,"53042-001; China, Peoples Republic of; Agriculture, natural resources and rural development; Contract date: 24 Sep 2021",Contracts Awarded,Technical Assistance 9753,Ministry of Finance,SIET Company Limited,"Unit 509, No. 999 South Suzhou Road, Shanghai 200001 China","3,99,800.00",Null
T-22: Motor Driving Training with Department of Technical Education (DTE),Status: Awarded,42466-017; Bangladesh; Education; Contract date: 24 Sep 2021,Contracts Awarded,Loan 3839,"Finance Division, Ministry of Finance",Directorate of Technical Education (DTE),F-4/B Sher-E-Bangla Nagar Administrative Area Agargaon Dhaka-1207,"24,43,357.70","24,26,104.55"
REHABILITATION/IMPROVEMENTS OF 99 KM OF RURAL ROAD IN THE KURUNEGALA DISTRICT - CONTRACT 3 INCLUDING PBM FOR THREE YEARS,Status: Awarded,47273-006; Sri Lanka; Transport; Contract date: 24 Sep 2021,Contracts Awarded,Loan 3610,Ministry of Highways,R. R. CONSTRUCTION (PVT) LTD,626C SAMURDHI MAWATHA CHEENAGAHAWELA HEIYANTHUDUWA SAPUGASKANDA,"1,08,46,926.65","14,86,031.31"
Rehabilitation Improvement and Maintenance of Kekirawa - Thalawa Road (B213) (23+850 km to 37+450 km),Status: Awarded,47273-006; Sri Lanka; Transport; Contract date: 24 Sep 2021,Contracts Awarded,Loan 3610,Ministry of Highways,International Construction Consortium (Pvt) Ltd,70 S De S Jayasinghe Mawatha Kohuwala Nugegoda,"59,47,370.90","29,72,062.61"
REHABILITATION/IMPROVEMENT AND MAINTENANCE OF 100.31 KM RURAL ROADS IN VAVUNIYA DISTRICT IN THE NORTHERN PROVINCE - PACKAGE VA-04,Status: Awarded,50301-003; Sri Lanka; Transport; Contract date: 24 Sep 2021,Contracts Awarded,Loan 3851,Ministry of Highways,CHINA STATE CONSTUCTION ENGINEERING CO. LTD,#15 SANLIHE ROAD HAIDIAN DISTRICT BEIJING CHINA PEOPLE'SREP.OF,"1,86,95,760.06","35,09,236.05"
Printing of Localized Education Materials for Lower Secondary Education in the Provinces of Hoa Binh Son La and Dien Bien,Status: Awarded,46066-002; Viet Nam; Education; Contract date: 24 Sep 2021,Contracts Awarded,Loan 3201,Ministry of Education and Training,Phu Thinh Printing and Trading Services Company Limited,No. 22/3 Lane 89 Lac Long Quan Street Nghia Do Ward Cau Giay District Hanoi City; Tuan Bang: Collective Quarters of Map Printing Factory Lane 108 Xuan Dinh Xuan Tao Ward Bac Tu Liem District Hanoi City,"11,30,869.84","10,28,560.60"
INTERNATIONAL PROJECT ACCOUNTING SPEC.,Status: Awarded,"47300-002; Lao Peoples Democratic Republic; Agriculture, natural resources and rural development; Contract date: 24 Sep 2021",Contracts Awarded,Loan 3198,Ministry of Agriculture and Forestry-Irrigation Dep,MS. MALAITHONG KONGPRACHITH,3 RUBUS AVE MOUNT ANNAN NSW 2567 AUSTRALIA,"1,03,100.00","1,03,100.00"
AVIATION SECURITY SPEIALIST INTERNATIONAL.,Status: Awarded,43141-044; Papua New Guinea; Transport; Contract date: 24 Sep 2021,Contracts Awarded,Loan 3496,National Airports Corporation,SHANNON WANDMAKER,BRISBANE QLD AUSTRALIA,"4,64,600.00","3,37,800.00"
NAC AIRPORT COMMERCIAL ADVISOR.,Status: Awarded,43141-044; Papua New Guinea; Transport; Contract date: 24 Sep 2021,Contracts Awarded,Loan 3496,National Airports Corporation,STEPHEN PRASSER,QLD AUSTRALIA 4556,"3,43,600.00","3,43,600.00"
Independent quality assurance (phase 2),Status: Awarded,47140-002; Viet Nam; Education; Contract date: 24 Sep 2021,Contracts Awarded,Loan 3494,Ministry of Education and Training,JV of Joint Stock Company for Civil Engineering Consultant and Construction and Linh Anh Technology and Engineering Consulting Co. Ltd. (JV of COFEC-LINH ANH),Hanoi,"2,02,747.37","2,02,747.37"
SD-04: Training Management System (Tappware Solutions Limited),Status: Awarded,42466-017; Bangladesh; Education; Contract date: 24 Sep 2021,Contracts Awarded,Loan 3839,"Finance Division, Ministry of Finance",Tappware Solutions Limited,H#566 (2nd and 6th Floor) Road#8 Avenue#3 Mirpur DOHS Dhaka-1216,"6,07,629.94","6,03,379.74"
3147-SRI: Green Power Development and Energy Efficiency Improvement Investment Program (Tranche 1) [IFB No. CEB/DGM/TCP/2021/IFB/GPDEEIIP-T1-P5],Status: Active Deadline: 05 Nov 2021,47037-004; Sri Lanka; Energy; Posting date: 23 Sep 2021,Invitation for Bids,3147,Null,Null,Null,Null,Null
3147-SRI: Green Power Development and Energy Efficiency Improvement Investment Program (Tranche 1) [IFB No. CEB/DGM/TCP/2021/IFB/GPDEEIIP-T1-P6],Status: Active Deadline: 05 Nov 2021,47037-004; Sri Lanka; Energy; Posting date: 23 Sep 2021,Invitation for Bids,3147,Null,Null,Null,Null,Null
53120-UZB: Climate Adaptive Water Resources Management in the Aral Sea Basin Sector Project [CAWRMP-ICW-02],Status: Active Deadline: 15 Nov 2021,"53120-001; Uzbekistan; Agriculture, natural resources and rural development; Posting date: 23 Sep 2021",Invitation for Bids,Null,Null,Null,Null,Null,Null
TA coordinator and research associate,Status: Closed Deadline: 25 Sep 2021,"55026-001; China, Peoples Republic of; Public sector management; Posting date: 23 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Social Protection Specialist/Project Manager,Status: Closed Deadline: 29 Sep 2021,54196-001; Palau; Public sector management; Posting date: 23 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Health Security Expert,Status: Closed Deadline: 29 Sep 2021,"55215-001; Regional, Cambodia, Indonesia, Lao Peoples Democratic Republic, Philippines, Thailand, Timor-Leste, Viet Nam; Health; Posting date: 23 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Needs assessment advisor,Status: Closed Deadline: 29 Sep 2021,"53109-002; Tajikistan; Agriculture, natural resources and rural development; Posting date: 23 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
National Cyber Security and Data Governance Specialist - PRC (53080-001): Heilongjiang Green Transformation Demonstration Project and Program,Status: Closed Deadline: 29 Sep 2021,53116-001; Regional; Information and communication technology; Posting date: 23 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Information Management Specialist,Status: Closed Deadline: 29 Sep 2021,"53109-002; Tajikistan; Agriculture, natural resources and rural development; Posting date: 23 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Senior Drainage Specialist,Status: Closed Deadline: 01 Oct 2021,53129-001; Pakistan; Water and other urban infrastructure and services; Posting date: 23 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Sustainable Capacity Development for Safeguards in the Pacific – National Social Safeguards Consultant (TON),Status: Closed Deadline: 02 Oct 2021,"54071-001; Regional, Cook Islands, Fiji, Micronesia, Federated States of, Kiribati, Nauru, Niue, Palau, Papua New Guinea, Marshall Islands, Samoa, Solomon Islands, Tonga, Tuvalu, Vanuatu; Water and other urban infrastructure and services; Posting date: 23 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
IFMIS Planning Specialist,Status: Closed Deadline: 06 Oct 2021,50378-001; Fiji; Public sector management; Posting date: 23 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Financial Instructions and Procurement Regulations Specialist,Status: Closed Deadline: 06 Oct 2021,50378-001; Fiji; Public sector management; Posting date: 23 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Enterprise Risk Management Specialist,Status: Closed Deadline: 06 Oct 2021,50378-001; Fiji; Public sector management; Posting date: 23 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Fiscal Transparency Specialist,Status: Closed Deadline: 06 Oct 2021,50378-001; Fiji; Public sector management; Posting date: 23 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Environmental Assessment Firm,Status: Closed Deadline: 07 Oct 2021,55157-001; Posting date: 23 Sep 2021,Firm - Consulting,Null,Null,Null,Null,Null,Null
Project Preparation Firm,Status: Closed Deadline: 07 Oct 2021,55157-001; Posting date: 23 Sep 2021,Firm - Consulting,Null,Null,Null,Null,Null,Null
SOE Safeguards and Social Audit,Status: Closed Deadline: 13 Oct 2021,54445-001; Viet Nam; Public sector management; Posting date: 23 Sep 2021,Firm - Consulting,Null,Null,Null,Null,Null,Null
National Project Appraisal Specialist,Status: Closed Deadline: 26 Oct 2021,50378-001; Fiji; Public sector management; Posting date: 23 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Construction Phase: Institutional development of RHD [Establishment of Road Research and Training Centre (RRTC)]; Maintenance Phase: Performance Based Maintenance work on Institutional development of RHD,Status: Awarded,40540-018; Bangladesh; Transport; Contract date: 23 Sep 2021,Contracts Awarded,Loan 3883,Roads and Highways Department,National Development Engineers Ltd.,House# 10 (Level# 4 7 8 11 12 13 & 14) Road# 90 Gulshan-2 Dhaka.,"2,95,70,428.55","1,48,94,081.32"
CONSTRUCTION OF PADDY DRYING & STORAGE FACILITIES AND SUPPLY OF EQUIPMENT FOR PHOU POY RICE MILL IN BATTAMBANG,Status: Awarded,"44321-013; Cambodia; Agriculture, natural resources and rural development; Contract date: 23 Sep 2021",Contracts Awarded,Loan 3007,Ministry of Economy and Finance,SENSEREY CNSTRCTION CO. LTD. (JV) AGRONIC,#164 ST. TONLE SAP SKGT. CHROY CHANGVA PHNOM PENH CAMBODIA,"22,33,191.39","20,09,872.25"
Supply of Heating and Pipe Fitting#2,Status: Awarded,"47052-002; China, Peoples Republic of; Energy; Contract date: 23 Sep 2021",Contracts Awarded,Loan 3218,Government of Inner Mongolia Autonomous Region,TIanjin Municipal Engineering Design and Research Institute Co. Ltd & Hubei Juqing Pipeline Manufacturing Co. Ltd. (JV),239 Yingkou R. Heping District Tianjin PRC Xiwang New Area Mengcun Hui Autonomous County Cangzhou City Hebei Province PRC,"76,18,193.35","54,38,413.85"
Supply of Heating Pipe and Fitting #1 (Package 18),Status: Awarded,"47052-002; China, Peoples Republic of; Energy; Contract date: 23 Sep 2021",Contracts Awarded,Loan 3218,Government of Inner Mongolia Autonomous Region,Jiangfeng Pipeline Group Co. Ltd.,Xiwang New Area Mengcum Hui Autonomous County Hebei Province PRC,"58,84,239.48","58,84,239.48"
Greening restoration project for the corridors (Erhuan East Road Erhuan West Road Erhuan South Road Qingdao Road - Beiyuan Avenue - Gongye North Road Nanxinzhuang West Road - Jingqi Road - Luoyuan Avenue - Lishan Road - Jiefang Road),Status: Awarded,"50010-002; China, Peoples Republic of; Transport; Contract date: 23 Sep 2021",Contracts Awarded,Loan 3583,Jinan Municipal Government,Jinan Daming Lake Garden Engineering Co. Ltd. ,Jinan Shandong Province,"59,47,431.38","59,47,431.38"
Battery Electric Bus (60*12-meter Bus and 40*10.5-meter Bus),Status: Awarded,"50010-002; China, Peoples Republic of; Transport; Contract date: 23 Sep 2021",Contracts Awarded,Loan 3583,Jinan Municipal Government,Zhongtong Bus Co. LTD ,No. 261 Huanghe Road Liaocheng Economic Development Zone Shandong Province.,"1,21,19,458.65","1,21,19,458.65"
QZE-C1 Qinzhou,Status: Awarded,"50050-004; China, Peoples Republic of; Industry and trade; Contract date: 23 Sep 2021",Contracts Awarded,Loan 3652,"Government of Guangxi Zhuang Autonomous Region, through Guangxi Foreign Loans Project Management Office",No.4 Construction Engineering Co. Ltd of Guizhou Construction and Engineering Group ,Guizhou,"1,78,44,788.51","98,60,994.59"
Works-QM-1: Sewage and Stormwater Sewer Upgrade Project in Qimen County-1,Status: Awarded,"52026-001; China, Peoples Republic of; Agriculture, natural resources and rural development; Contract date: 23 Sep 2021",Contracts Awarded,Loan 3888,Huangshan Municipal Government,Anhui Xinjian Holding Group Co. Ltd.,75 Chaohu Road Hefei City Anhui Province PRC,"22,97,318.43","11,54,085.08"
SUPPLY OF WELLHEADS FOR DIENG 2 AND PATUHA 2 DRILLING CAMPAIGN,Status: Awarded,52282-001; Indonesia; Energy; Contract date: 23 Sep 2021,Contracts Awarded,Loan 3928,PT Geo Dipa Energi,PT NURMAN MITRA SENTOSA & TIX-IKS CORP (JV),JI INDUSTRI SELATAN 6 BLOK GG 9 EF KAWA SAN INDUSTRI JABABEKA II 17550 INDONESIA,"56,90,289.68","53,69,458.52"
SUPPLY OF CASING FOR DIENG 2 AND PATUHA 2 DRILLINGCAMPAIGN,Status: Awarded,52282-001; Indonesia; Energy; Contract date: 23 Sep 2021,Contracts Awarded,Loan 3928,PT Geo Dipa Energi,PT CITRA TUBINDO TBK INO,WORLD TRADE CENTER 5 JAKARTA INDONESIA,"1,21,61,515.00","1,12,01,863.50"
1500-2000 HP Rig Bundling Services for Dieng 2 and Patuha 2 Drilling Campaign (Lot 1: Dieng),Status: Awarded,52282-001; Indonesia; Energy; Contract date: 23 Sep 2021,Contracts Awarded,Loan 3928,PT Geo Dipa Energi,PT Plumpang Raya Anugrah,Kompleks Rukan Nusantara Blok A No. 1-2 JI. Danau Sunter Barat - Jakarta Utara 14350 Indonesia,"4,48,64,043.55","4,03,77,639.20"
IMPROVEMENT OF WATER SUPPLY SYSTEM FOR POLOMOLOK WATER DISTRICT,Status: Awarded,41665-013; Philippines; Water and other urban infrastructure and services; Contract date: 23 Sep 2021,Contracts Awarded,Loan 3389,Local Water Utilities Administration,CB GARAY PHILWIDE BUILDERS,YAKAL WEST ST. MARCOS HIGHWAY SANTOLAN PASIG CITY PHILIPPINES,"18,50,018.02","17,14,574.18"
IT & ERP EXPERT,Status: Awarded,47101-004; India; Energy; Contract date: 23 Sep 2021,Contracts Awarded,Loan 4029,Assam Power Generation Corporation Ltd.,SUBHASISH DHAR,FLAT NO.K2/3 KARUNAMOYEE HOUSING ESTATE SALT LATE KOLKATA WEST BENGAL INDIA,"3,89,000.00","1,55,878.00"
Civil Works for Section 2B Epkin - Dyikan,Status: Awarded,48401-007; Kyrgyz Republic; Transport; Contract date: 23 Sep 2021,Contracts Awarded,Grant 0496,Ministry of Transport and Communications,China Railway No. 5 Engineering Group Co.,"China, People's Republic of","93,84,000.52",Null
Supervision consultants for construction of Telavi water supply system,Status: Awarded,51132-002; Georgia; Water and other urban infrastructure and services; Contract date: 23 Sep 2021,Contracts Awarded,Loan 3982,Ministry of Finance,Temelsu International Engineering Services Inc. in association with Policy and Management Consulting Group,Yildizevler 721. Sk. No. 6 06550 Ankara,"8,79,455.29","7,42,994.20"
ADB Loan 3686 / Grant 0592 / Grant 0593 CAM: Fourth Greater Mekong Subregion Corridor Towns Development Project [PMU/MPWT/CTDP4/ICB/CW05],Status: Active Deadline: 03 Nov 2021,50099-002; Cambodia; Water and other urban infrastructure and services; Posting date: 22 Sep 2021,Invitation for Bids,"3686, 0592, 0593",Null,Null,Null,Null,Null
INO: Health Specialist 3 (Finance Reform Management),Status: Closed Deadline: 28 Sep 2021,54079-001; Regional; Health; Posting date: 22 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Pacific Region Infrastructure Facility Coordination Office-Leveraging Infrastructure for Sustainable Development - Infrastructure Economist,Status: Closed Deadline: 28 Sep 2021,"53103-001; Regional, Cook Islands, Fiji, Micronesia, Federated States of, Kiribati, Nauru, Niue, Palau, Papua New Guinea, Marshall Islands, Samoa, Solomon Islands, Tonga, Tuvalu, Vanuatu; Transport; Posting date: 22 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
INO: Business Intelligence Analyst,Status: Closed Deadline: 28 Sep 2021,54079-001; Regional; Health; Posting date: 22 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
"Supporting Evaluations for Development Effectiveness in Asia and the Pacific, 2021-2022 (Subproject 1)",Status: Closed Deadline: 28 Sep 2021,53354-002; Regional; Public sector management; Posting date: 22 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Investment Fund Advisor,Status: Closed Deadline: 28 Sep 2021,54055-001; Regional; Information and communication technology; Posting date: 22 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
International Education and Skills Specialist,Status: Closed Deadline: 01 Oct 2021,46064-002; Cambodia; Education; Posting date: 22 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Sustainable Capacity Development for Safeguards in the Pacific – National Environmental Safeguards Consultant (FIJ),Status: Closed Deadline: 01 Oct 2021,"54071-001; Regional, Cook Islands, Fiji, Micronesia, Federated States of, Kiribati, Nauru, Niue, Palau, Papua New Guinea, Marshall Islands, Samoa, Solomon Islands, Tonga, Tuvalu, Vanuatu; Water and other urban infrastructure and services; Posting date: 22 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Sustainable Capacity Development for Safeguards in the Pacific – National Environmental Safeguards Consultant (TON),Status: Closed Deadline: 01 Oct 2021,"54071-001; Regional, Cook Islands, Fiji, Micronesia, Federated States of, Kiribati, Nauru, Niue, Palau, Papua New Guinea, Marshall Islands, Samoa, Solomon Islands, Tonga, Tuvalu, Vanuatu; Water and other urban infrastructure and services; Posting date: 22 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
Sustainable Capacity Development for Safeguards in the Pacific – National Environmental Safeguards Consultant (PNG),Status: Closed Deadline: 01 Oct 2021,"54071-001; Regional, Cook Islands, Fiji, Micronesia, Federated States of, Kiribati, Nauru, Niue, Palau, Papua New Guinea, Marshall Islands, Samoa, Solomon Islands, Tonga, Tuvalu, Vanuatu; Water and other urban infrastructure and services; Posting date: 22 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
"Consulting services for preparation, organization, operation and evaluation of comparative field trials and demonstrations",Status: Closed Deadline: 21 Oct 2021,"51081-002; Kyrgyz Republic; Agriculture, natural resources and rural development; Posting date: 22 Sep 2021",Firm - Consulting,Null,Null,Null,Null,Null,Null
RETROFITTING OF 21 SCHOOLS IN OKHALDHUNGA AND SINDHULI DISTRICTS,Status: Awarded,51190-001; Nepal; Education; Contract date: 22 Sep 2021,Contracts Awarded,Loan 3702,National Reconstruction Authority,Sharma -Khani JV,Baneshwor Kathmandu,"30,04,391.98","16,84,836.57"
DLI TARGET ACHIEVEMENTS FOR DLI(IV) 2019 DLI(IV) 2020 and DLI(VII) 2020,Status: Awarded,42251-018; Sri Lanka; Education; Contract date: 22 Sep 2021,Contracts Awarded,Loan 3650,"State Ministry of Skills Development, Vocational Education, Research & Innovation (SMSDVERI)",VARIOUS,SRI LANKA,"54,00,000.00","54,00,000.00"
BP-CW-01: REPAIR AND UPGRADE FROM KM0 TO KM28 - PR756,Status: Awarded,48189-002; Viet Nam; Transport; Contract date: 22 Sep 2021,Contracts Awarded,Loan 3499,Dak Lak Provincial People's Committee,JV THUAN PHU - DONG DO,THUAN PHU COMMNUE DONG PHU DISTRICT BINH PHUOC PROVINCE VIET NAM SOC REP OF,"79,08,822.10","78,99,939.35"
52051-PAK: Project Readiness Financing (PRF) for Preparing Kurram Tangi Integrated Water Resources Development Project,Status: Active,52051-003; Posting date: 21 Sep 2021,Advance Notice,Null,Null,Null,Null,Null,Null
L3711-NEP: Urban Water Supply and Sanitation (Sector) Project [UWSSP/OCB/13],Status: Active Deadline: 08 Nov 2021,35173-015; Nepal; Water and other urban infrastructure and services; Posting date: 21 Sep 2021,Invitation for Bids,3711,Null,Null,Null,Null,Null
Assessing impact of COVID-19 on retail sales jobs in the Philippines,Status: Closed Deadline: 27 Sep 2021,54023-001; Regional; Multisector; Posting date: 21 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
INO: Project Management Specialist (re-advertised),Status: Closed Deadline: 27 Sep 2021,54079-001; Regional; Health; Posting date: 21 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Technical-Vocational Education and Skills Development Specialist,Status: Closed Deadline: 27 Sep 2021,45089-003; Philippines; Education; Posting date: 21 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
SOLID WASTE AND SANITATION EXPERT,Status: Closed Deadline: 27 Sep 2021,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services; Posting date: 21 Sep 2021",Individual - Consulting,Null,Null,Null,Null,Null,Null
CAM-IDPoor program,Status: Closed Deadline: 27 Sep 2021,"54219-001; Regional, Cambodia, Indonesia, Myanmar, Philippines, Thailand; Public sector management; Posting date: 21 Sep 2021",Firm - Consulting,Null,Null,Null,Null,Null,Null
Administration Assistant,Status: Closed Deadline: 04 Oct 2021,52339-001; Georgia; Education; Posting date: 21 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
Supporting Bangladeshs National COVID-19 Vaccination Program,Status: Closed Deadline: 05 Oct 2021,"54201-001; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Health; Posting date: 21 Sep 2021",Firm - Consulting,Null,Null,Null,Null,Null,Null
Senior Design and QAQC Engineer,Status: Closed Deadline: 08 Oct 2021,55060-001; Nepal; Health; Posting date: 21 Sep 2021,Individual - Consulting,Null,Null,Null,Null,Null,Null
