S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref,Organisation Chain
796.,08-Aug-2023 05:30 PM,29-Aug-2023 11:00 AM,30-Aug-2023 11:00 AM,"[e- TENDER FOR Annual Repair Contract ARC for repair of ARC, ARI, TYPE-II and TYPE-IV Control Cards of C -DOT exchanges] [NIT No MM / 10-99/ 2023-24 / ARC ARI Ty-II Ty-][2023_BSNL_163658_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Karnataka Telecom Circle
797.,14-Aug-2023 06:00 PM,29-Aug-2023 11:00 AM,30-Aug-2023 11:00 AM,[Procurement of 1.0 Lac MT Market Coal for (PJPB) Jhabua Power Ltd. (A JV of NTPC Ltd.)] [JPL/CnM/Contracts/NIT/2023/004][2023_JPL_164505_1],Jhabua Power Ltd
798.,04-Aug-2023 09:00 AM,29-Aug-2023 11:00 AM,30-Aug-2023 11:00 AM,[Procurement of Muffle Furnace] [CIMFR/PUR-9(14)2023][2023_CSIR_163297_1],Council of Scientific and Industrial Research||CIMFR-Dhanbad - CSIR||Purchase-CIMFR - CSIR
799.,10-Aug-2023 06:00 PM,29-Aug-2023 11:00 AM,30-Aug-2023 11:00 AM,"[Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works etc] [T02_DGMPROJECT_OFCLAYING][2023_BSNL_164158_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Projects||GM TP ND||DGM (TP) NCR
800.,10-Aug-2023 05:40 PM,29-Aug-2023 11:00 AM,30-Aug-2023 11:00 AM,"[Laying PLB pipe/ Ductand Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works etc] [T01_BSNL_DGMPROJECT_OFC LAYING][2023_BSNL_164118_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Projects||GM TP ND||DGM (TP) NCR
801.,19-Aug-2023 09:00 AM,29-Aug-2023 11:00 AM,30-Aug-2023 11:30 AM,[Providing Electrical infrastructure works VESDA system Gas Suppressor Surveillance Access Control system for the proposed phase IX 2 server installation at first floor of DTAX building Trichy SH Rodent Repellent System and Water Leakage Detection Sy] [13 / EEE BSNL ED/TR/ 2023-2024][2023_BSNL_164898_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Tamilnadu Telecom Circle||CE(Electrical), Chennai"
802.,10-Aug-2023 06:00 PM,29-Aug-2023 11:00 AM,30-Aug-2023 11:00 AM,"[Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works etc] [T02_DGMPROJECT_OFCLAYING][2023_BSNL_164158_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Projects||GM TP ND||DGM (TP) NCR
803.,14-Aug-2023 06:00 PM,29-Aug-2023 11:00 AM,30-Aug-2023 11:00 AM,[Procurement of 1.0 Lac MT Market Coal for (PJPB) Jhabua Power Ltd. (A JV of NTPC Ltd.)] [JPL/CnM/Contracts/NIT/2023/004][2023_JPL_164505_1],Jhabua Power Ltd
804.,27-Jul-2023 03:00 PM,29-Aug-2023 11:30 AM,30-Aug-2023 03:00 PM,[Acid Transfer Pump] [2/PE230453/8][2023_UCIL_162492_1],Uranium Corporation of India Limited||Purchase Department-Jharkhand - UCIL||Group 2 - UCIL
805.,27-Jul-2023 03:00 PM,29-Aug-2023 11:30 AM,30-Aug-2023 03:00 PM,[Vaccum Head with bridge plate] [2/PE230521/1][2023_UCIL_162501_1],Uranium Corporation of India Limited||Purchase Department-Jharkhand - UCIL||Group 2 - UCIL
806.,27-Jul-2023 04:00 PM,29-Aug-2023 11:30 AM,30-Aug-2023 03:00 PM,[POLYPROPELENE BUCKET] [2/PE230519/1][2023_UCIL_162520_1],Uranium Corporation of India Limited||Purchase Department-Jharkhand - UCIL||Group 2 - UCIL
807.,21-Aug-2023 10:00 AM,29-Aug-2023 12:00 PM,29-Aug-2023 12:05 PM,[GENERAL-Park Swami Dayanand colony-Imp dev of park at Swami dayanand colony kishan ganj in ward No.71 CSPZ.-General Civil Work] [EE/M-I/CSPZ/TC/ 2023-24/12-07][2023_MCD_165090_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
808.,21-Aug-2023 10:00 AM,29-Aug-2023 12:00 PM,29-Aug-2023 12:05 PM,"[Supply of material-supply of material like coarse sand, stone aggregate, Gully grating and manhole etc for day to day repair of roads and lanes under the jurisdiction of Ward -71, M-I CSPZ.-General Civil Work] [EE/M-I/CSPZ/TC/ 2023-24/12-01][2023_MCD_165077_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
809.,21-Aug-2023 10:00 AM,29-Aug-2023 12:00 PM,29-Aug-2023 12:05 PM,"[Supply of Material-Supply of Bitumen premix bag for day to day repair and maintenance of roads and lanes under the jurisdiction of 71, M-I CSPZ.-General Civil Work] [EE/M-I/CSPZ/TC/ 2023-24/12-02][2023_MCD_165080_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
810.,21-Aug-2023 10:00 AM,29-Aug-2023 12:00 PM,29-Aug-2023 12:05 PM,[GENERAL-Name Board-Providing and Fixing information sign Board in ward -81 CSPZ Quresh Nagar-General Civil Work] [EE/M-I/CSPZ/TC/ 2023-24/12-05][2023_MCD_165087_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
811.,21-Aug-2023 10:00 AM,29-Aug-2023 12:00 PM,29-Aug-2023 12:05 PM,[GENERAL-Vivekanand puri park -Imp dev of Boundary wall of park Vivekanand puri near community center in ward No.71 CSPZ.-General Civil Work] [EE/M-I/CSPZ/TC/ 2023-24/12-10][2023_MCD_165097_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
812.,18-Jul-2023 03:00 PM,29-Aug-2023 12:00 PM,30-Aug-2023 12:00 PM,"[Repair and maintenance of Aluminium work inside the main plant area of Unit I II for one year including repairing of False Ceiling in MRS control room SWAS Room and CPU control Room at DVC, RTPS] [DVC/Tender/HQ/CIVIL/027][2023_DVC_161438_1]",Damodar Valley Corporation||RTPS Raghunathpur - DVC||C and M
813.,21-Aug-2023 10:00 AM,29-Aug-2023 12:00 PM,29-Aug-2023 12:05 PM,[GENERAL-Park Swami Dayanand colony-Imp dev of park at Swami dayanand colony kishan ganj in ward No.71 CSPZ.-General Civil Work] [EE/M-I/CSPZ/TC/ 2023-24/12-07][2023_MCD_165090_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
814.,21-Aug-2023 10:00 AM,29-Aug-2023 12:00 PM,29-Aug-2023 12:05 PM,"[Supply of Material-Supply of Bitumen premix bag for day to day repair and maintenance of roads and lanes under the jurisdiction of 71, M-I CSPZ.-General Civil Work] [EE/M-I/CSPZ/TC/ 2023-24/12-02][2023_MCD_165080_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
815.,21-Aug-2023 10:00 AM,29-Aug-2023 12:00 PM,29-Aug-2023 12:05 PM,"[Hiring of Machine-Hiring of back hoe loader and truck for removal of malba, debris from the roads and lanes under the jurisdiction of ward 71, M-I CSPZ.-General Civil Work] [EE/M-I/CSPZ/TC/ 2023-24/12-03][2023_MCD_165083_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
816.,21-Aug-2023 10:00 AM,29-Aug-2023 12:00 PM,29-Aug-2023 12:05 PM,"[GENERAL-H.No. M-42 to M-50 shastri nagar-Imp dev of road by Pdg RMC and d/system from H.No. M-42 to M-50, M-block shastri nagar in ward No. 70 CSPZ.-General Civil Work] [EE/M-I/CSPZ/TC/ 2023-24/12-09][2023_MCD_165095_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
817.,21-Aug-2023 10:00 AM,29-Aug-2023 12:00 PM,29-Aug-2023 12:05 PM,"[Various civil repair work at special Municipal Magistrate court-Imp and Dev by various civil repair work at special municipal magistrate court chamber ,toilet at old zonal building in ward no.81/CSPZ-General Civil Work] [EE/M-I/CSPZ/TC/ 2023-24/12-04][2023_MCD_165084_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
818.,07-Jul-2023 06:10 PM,29-Aug-2023 01:00 PM,30-Aug-2023 02:00 PM,[DC/B378-000-YL-MR-1238/251] [DC/B378-000-YL-MR-1238/251][2023_GAIL_159937_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC
819.,08-Aug-2023 02:30 PM,29-Aug-2023 01:00 PM,30-Aug-2023 03:00 PM,[EOI for leasing out built up space in BSNL buildings in KNL BA] [EOI for leasing out BSNL built up space in KNL BA][2023_BSNL_163745_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||PGMTD Kurnool
820.,30-Jun-2023 04:00 PM,29-Aug-2023 02:00 PM,30-Aug-2023 02:00 PM,[DC/B378-000-YT-MR-1410/247] [DC/B378-000-YT-MR-1410/247][2023_GAIL_157487_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC
821.,28-Jul-2023 06:00 PM,29-Aug-2023 02:00 PM,30-Aug-2023 03:00 PM,[Allotment of land 186 Sqm and waterfront 90 Sqm on long term lease Annual lease rental basis of 10 years without renewal option on as is where is basis in Zone Z3 near BB2 jetty at Lovagarden area for purpose of Maritime related activities 2nd call ] [IENG/Est/Z-3 near BB 2 J/T/2023 Dt.28-07-2023][2023_VPT_162673_1],Visakhapatnam Port Trust||Civil Engineering - VPT||SE CP Division - VPT
822.,18-Jul-2023 05:00 PM,29-Aug-2023 02:00 PM,30-Aug-2023 02:00 PM,[DC/B378-000-YK-MR-2081/249] [B378-000-YK-MR-2081/249][2023_GAIL_161302_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC
823.,03-Aug-2023 06:15 PM,29-Aug-2023 02:00 PM,30-Aug-2023 02:00 PM,[AK/B378-000-WD-MR-3322/260] [AK/B378-000-WD-MR-3322/260][2023_GAIL_163293_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC
824.,18-Aug-2023 05:30 PM,29-Aug-2023 02:00 PM,30-Aug-2023 02:30 PM,[Construction of toilet facility and repairing of class room building at St. Aloysius Hr. Sec. School in Marthandamthurai and Govt. Hr. Sec. School in Kalingarajapuram] [IREL/MK/ET26/2023][2023_IREL_164942_1],IREL (INDIA) Limited||Corporate Office Mumbai - IREL
825.,30-Jun-2023 04:00 PM,29-Aug-2023 02:00 PM,30-Aug-2023 02:00 PM,[DC/B378-000-YT-MR-1410/247] [DC/B378-000-YT-MR-1410/247][2023_GAIL_157487_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC
826.,03-Aug-2023 04:00 PM,29-Aug-2023 02:00 PM,30-Aug-2023 02:00 PM,[DC/B378-000-WA-MR-3306/259] [DC/B378-000-WA-MR-3306/259][2023_GAIL_162517_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC
827.,08-Aug-2023 05:00 PM,29-Aug-2023 02:30 PM,30-Aug-2023 02:30 PM,[Supply of Spare for CG-5 Gravity Meter ] [57(6)2023-Pur/T-12][2023_CSIR_163797_1],Council of Scientific and Industrial Research||NGRI-Hyderabad - CSIR||Purchase-NGRI - CSIR
828.,10-Aug-2023 03:00 PM,29-Aug-2023 02:30 PM,30-Aug-2023 03:00 PM,"[Supply of IFNa/b/gR-/-129Sv/Ev Inbred AG129 Mice Male and Female Cat. No. AM-TRAN,M-6] [CDRI/2023/IND71696][2023_CSIR_164055_1]",Council of Scientific and Industrial Research||CDRI-Lucknow - CSIR||Purchase-CDRI - CSIR
829.,23-Aug-2023 06:00 PM,29-Aug-2023 02:30 PM,29-Aug-2023 03:00 PM,"[SUPPLY OF CHEMLOX POLISHING FLUID, CHEMCLOTH POLISING CLOTH AND GLASS LAPPING PLATE FOR LP50 (RADIAL GROVED)] [0914/0358/2023][2023_CEL_165462_1]",Central Electronics Limited
830.,08-Aug-2023 05:00 PM,29-Aug-2023 02:30 PM,30-Aug-2023 02:30 PM,[Supply of efield probe pb/pbcl2 electrodes] [57(15)2023-Pur/T-13][2023_CSIR_163805_1],Council of Scientific and Industrial Research||NGRI-Hyderabad - CSIR||Purchase-NGRI - CSIR
831.,12-Aug-2023 10:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,"[Tender for Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works etc., in JAMINI - KERIMERI (SECTION-8) OFC route of Adilabad OA] [PGMBA-NZB/AnP/OFCLaying tender/JMN-KRM/2023-24/6][2023_BSNL_164342_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||GMTD Nizamabad
832.,22-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,[Improvement of back lane by laying C.C (1-1.5-3) from House No. D50 to D58 and between D49 to D50 in Defence colony in Ward No. 145/Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-14][2023_SDMC_165251_1],South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
833.,22-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,"[Improvement/Development of road/lane by pdg. CC 1-1.5-3 from H.no. D-1 to D-16 Sidharth Nagar, Ward no. 143 Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-07][2023_SDMC_165231_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
834.,22-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,"[Improvement/Development of road/lane by pdg. CC 1-1.5-3 from H.no. 61A to 26 and 15 to 19 near old chaupal in Kilokari Village Sidharth Nagar, Ward no. 143 Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-06][2023_SDMC_165227_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
835.,22-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,"[Improvement/Development of road/lane by pdg. CC 1-1.5-3 beside Jiwan hospital in Jiwan nagar, Sidharth Nagar, Ward no. 143 Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-05][2023_SDMC_165225_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
836.,22-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,"[Improvement/Development of road/lane by pdg. CC 1-1.5-3 from H.No. 179/2 to H.No. 200, 196 to 191 and 200 to 200B Jiwan nagar, Sidharth Nagar, Ward no. 143 Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-04][2023_SDMC_165223_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
837.,22-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,[Improvement of back lane by laying C.C. (1-1.5-3) from House No.D 27 to D 30 and D 31 to D 33 in Defence colony in Ward No. 145/Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-15][2023_SDMC_165253_1],South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
838.,22-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,"[Construction of road by pdg. RMC from ISBT to Sarai Kale Khan Village Entry in Ward No. 143, Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-03][2023_SDMC_165222_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
839.,22-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,"[Improvement/development of road by pdg CC from H. NO. MC Pry School to 12-Block Jal Vihar Gate in Nehru Nagar in Ward No.144, Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-02][2023_SDMC_165221_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
840.,22-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,"[Improvement/development of Jangpura lane by pdg CC from H. NO. 1B to 7 in Bhogal in Ward No.144, Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-01][2023_SDMC_165220_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
841.,09-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[E-TENDER FOR ALLOTMENT OF AUTHORIZED SURFACE PARKING SITES ON MONTHLY LICENSE FEE BASIS] [AC/RPC/MCD/2023/D-1177 DATED 08.08.2023][2023_MCD_163789_42],Municipal Corporation of Delhi||Remunerative Project Cell - MCD
842.,09-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[E-TENDER FOR ALLOTMENT OF AUTHORIZED SURFACE PARKING SITES ON MONTHLY LICENSE FEE BASIS] [AC/RPC/MCD/2023/D-1177 DATED 08.08.2023][2023_MCD_163789_43],Municipal Corporation of Delhi||Remunerative Project Cell - MCD
843.,09-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[E-TENDER FOR ALLOTMENT OF AUTHORIZED SURFACE PARKING SITES ON MONTHLY LICENSE FEE BASIS] [AC/RPC/MCD/2023/D-1177 DATED 08.08.2023][2023_MCD_163789_44],Municipal Corporation of Delhi||Remunerative Project Cell - MCD
844.,09-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[E-TENDER FOR ALLOTMENT OF AUTHORIZED SURFACE PARKING SITES ON MONTHLY LICENSE FEE BASIS] [AC/RPC/MCD/2023/D-1177 DATED 08.08.2023][2023_MCD_163789_45],Municipal Corporation of Delhi||Remunerative Project Cell - MCD
845.,09-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[E-TENDER FOR ALLOTMENT OF AUTHORIZED SURFACE PARKING SITES ON MONTHLY LICENSE FEE BASIS] [AC/RPC/MCD/2023/D-1177 DATED 08.08.2023][2023_MCD_163789_46],Municipal Corporation of Delhi||Remunerative Project Cell - MCD
846.,09-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[E-TENDER FOR ALLOTMENT OF AUTHORIZED SURFACE PARKING SITES ON MONTHLY LICENSE FEE BASIS] [AC/RPC/MCD/2023/D-1177 DATED 08.08.2023][2023_MCD_163789_47],Municipal Corporation of Delhi||Remunerative Project Cell - MCD
847.,09-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[E-TENDER FOR ALLOTMENT OF AUTHORIZED SURFACE PARKING SITES ON MONTHLY LICENSE FEE BASIS] [AC/RPC/MCD/2023/D-1177 DATED 08.08.2023][2023_MCD_163789_48],Municipal Corporation of Delhi||Remunerative Project Cell - MCD
848.,09-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[E-TENDER FOR ALLOTMENT OF AUTHORIZED SURFACE PARKING SITES ON MONTHLY LICENSE FEE BASIS] [AC/RPC/MCD/2023/D-1177 DATED 08.08.2023][2023_MCD_163789_49],Municipal Corporation of Delhi||Remunerative Project Cell - MCD
849.,09-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[E-TENDER FOR ALLOTMENT OF AUTHORIZED SURFACE PARKING SITES ON MONTHLY LICENSE FEE BASIS] [AC/RPC/MCD/2023/D-1177 DATED 08.08.2023][2023_MCD_163789_50],Municipal Corporation of Delhi||Remunerative Project Cell - MCD
850.,09-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[E-TENDER FOR ALLOTMENT OF AUTHORIZED SURFACE PARKING SITES ON MONTHLY LICENSE FEE BASIS] [AC/RPC/MCD/2023/D-1177 DATED 08.08.2023][2023_MCD_163789_52],Municipal Corporation of Delhi||Remunerative Project Cell - MCD
851.,23-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,"[Improvement/development of back lane by pdg. CC 1-1.5-3 from H.No. 29/179 to H.No. 29/184 in Vikram Vihar in Ward No. 146, Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-28][2023_SDMC_165395_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
852.,09-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[E-TENDER FOR ALLOTMENT OF AUTHORIZED SURFACE PARKING SITES ON MONTHLY LICENSE FEE BASIS] [AC/RPC/MCD/2023/D-1177 DATED 08.08.2023][2023_MCD_163789_53],Municipal Corporation of Delhi||Remunerative Project Cell - MCD
853.,10-Aug-2023 11:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[eTender for Annual Maitenance Contract for Complete canning line for food] [4/6(2)2023-Pur./Re-Tender][2023_CSIR_163625_1],Council of Scientific and Industrial Research||IHBT-Palampur - CSIR||Purchase -IHBT - CSIR
854.,23-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,[Improvement of back lane by laying C.C. (1-1.5-3) from House No. C45 to C56 in Defence colony in Ward No. 145/Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-20][2023_SDMC_165372_1],South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
855.,17-Aug-2023 12:00 PM,29-Aug-2023 03:00 PM,30-Aug-2023 04:00 PM,[Comp Mtce of 8 Psgr lift at TE RAILWAYPURA] [33/EEE(AHD)/BSNL/2023-24][2023_BSNL_164696_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Gujarat Telecom Circle||CE (Electrical)
856.,09-Aug-2023 02:00 PM,29-Aug-2023 03:00 PM,30-Aug-2023 03:30 PM,"[Leather Goods and Accessories outlet at SHA, at New Domestic Terminal Building T1, BPI Airport Bhubaneswar] [AAI/Comml/Leather retail/2023][2023_AAI_163887_1]",Airports Authority of India||Eastern Region - AAI||BHUBANESWAR - AAI||COMMERCIAL-VEBS - AAI
857.,08-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[AMC FOR THE GAS DETECTION SYSTEM INSTALLED UNDER MALANPUR REGION] [GAIL/KL/C23133/KS/INST/2023][2023_GAIL_163374_1],GAIL (India) Limited||GAIL India Limited- Vijaipur
858.,09-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[E-TENDER FOR ALLOTMENT OF AUTHORIZED SURFACE PARKING SITES ON MONTHLY LICENSE FEE BASIS] [AC/RPC/MCD/2023/D-1177 DATED 08.08.2023][2023_MCD_163789_52],Municipal Corporation of Delhi||Remunerative Project Cell - MCD
859.,12-Aug-2023 02:00 PM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,"[Tender for Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable etc., in Neredigonda- Boath and Echoda - Bazarhathnoor (SECTION-9) OFC routes of ADB OA ] [PGMBA-NZB/AnP/OFCLaying tender/NRG-BTH/2023-24/6][2023_BSNL_164383_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||GMTD Nizamabad
860.,09-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[E-TENDER FOR ALLOTMENT OF AUTHORIZED SURFACE PARKING SITES ON MONTHLY LICENSE FEE BASIS] [AC/RPC/MCD/2023/D-1177 DATED 08.08.2023][2023_MCD_163789_1],Municipal Corporation of Delhi||Remunerative Project Cell - MCD
861.,22-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,[Civil Work] [MCD/TR/6034/2023_5_1_1/1][2023_MCD_165202_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
862.,09-Aug-2023 05:00 PM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[pur/4/23-24/228/lspd/rrb/po] [PUR/4/23-24/228/RRB/LSPD/PO][2023_CSIR_163918_1],Council of Scientific and Industrial Research||IIP-Dehradun - CSIR||Purchase-IIP - CSIR
863.,16-Aug-2023 01:00 PM,29-Aug-2023 03:00 PM,30-Aug-2023 03:30 PM,[Electrical works in Annexe Building] [46/BSNL/EDV/2023-24][2023_BSNL_164590_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||O/o CGMT, AP Circle,Vijayawada"
864.,22-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,[Improvement of back lane by laying C.C. (1-1.5-3) from House No. D9 to D17 in Defence colony in Ward No. 145/Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-11][2023_SDMC_165236_1],South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
865.,22-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,[Civil Work] [MCD/TR/6054/2023_5_1_1/1][2023_MCD_165204_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
866.,11-Aug-2023 02:15 PM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,"[-Tender for Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works etc., in GOYEGAON to KERIMERI (SECTION-5) OFC route of Adilabad OA ] [PGMBA-NZB/AnP/OFCLaying tender/GYN-KRM/2023-24/6][2023_BSNL_164243_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||GMTD Nizamabad
867.,22-Aug-2023 09:00 AM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,[Civil Work] [MCD/TR/6035/2023_5_1_1/1][2023_MCD_165205_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
868.,22-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,"[Improvement/development of Jangpura lane by pdg CC from H. NO. 1B to 7 in Bhogal in Ward No.144, Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-01][2023_SDMC_165220_1]",South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
869.,16-Aug-2023 11:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,[Spares of In Motion Weigh Bridge] [100000992][2023_APCPL_164573_1],Aravali Power Company Pvt. Ltd - IGSTPP||Contract and Materials - APCPL
870.,11-Aug-2023 11:00 AM,29-Aug-2023 03:00 PM,30-Aug-2023 03:00 PM,"[Tender for Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works etc., in Repallewada to Kagaznagar X-Road (Section-2) OFC route of Adilabad OA under NZB BA] [PGMBA-NZB/AnP/OFCLaying tender/RPW-KGZ/2023-24/5][2023_BSNL_164066_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||GMTD Nizamabad
871.,22-Aug-2023 03:00 PM,29-Aug-2023 03:00 PM,29-Aug-2023 03:05 PM,[Improvement of back lane by laying C.C (1-1.5-3) from House No. D50 to D58 and between D49 to D50 in Defence colony in Ward No. 145/Central Zone] [D/EE (M)-I/CNZ/2023-2024/24-14][2023_SDMC_165251_1],South Delhi Municipal Corporation||Municipal Engineers Office - SDMC
