S.No,e-Published Date,Bid Submission Closing Date,Tender Opening Date,Title and Ref.No./Tender ID,Details,Locations,Sector,Subsector
775.0,25-Aug-2023 02:05 PM,14-Sep-2023 11:00 AM,15-Sep-2023 12:00 PM,"[D-211/E-Tender/Outsourcing BTS/ZONE-4, KSN-OA] [D-211/E-Tender/Outsourcing BTS/BGP/23-] [2023_BSNL_165693_4]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Bhagalpur,,KSN,
776.0,15-Jun-2023 06:30 PM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[Development Operation and Maintenance of Ropeway from Brahmagiri to Anjaneri Hills at Nashik in the State of Maharashtra on Hybrid Annuity Mode.] [NHAI/Ropeways/Nashik/2023] [2023_NHAI_157655_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,,Maharashtra on Hybrid Annuity Mode .
777.0,29-Jul-2023 09:05 AM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[AE for Construction of new 4 lane Prayagraj Southern Bypass from km. 50.860 (Nababa urf Nibi Kala Uparhar) to design km. 64.763 on NH-19 (near Khodaypur Kasgaon) including Interchange loop at NH-19 in the state of UP PK-3 under Phase-I on EPC mode] [NHAI/PIU-Prayagraj/ Pkg-III/AE/E-tender] [2023_NHAI_162737_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,Prayagraj,UP PK-3 under Phase - I on EPC mode
778.0,25-Feb-2023 09:00 AM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[Construction of 4 Lane Flyover from MES College Junction to Bogmalo Junction on NH566 from km 7.106 to km 10.460 and 4 Lane VUP at Queeny Nagar Junction from km 3.330 to km 4.550 on EPC Mode in the State of Goa.] [NHAI/PC/2023(MES College Queeny Nagar)] [2023_NHAI_146949_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,MES,Goa .
779.0,25-Aug-2023 02:00 PM,14-Sep-2023 11:00 AM,15-Sep-2023 12:00 PM,"[D-211/E-Tender/Outsourcing BTS/ZONE-3, KTR-OA] [D-211/E-Tender/Outsourcing BTS/BGP/23-] [2023_BSNL_165693_3]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||G.M. Bhagalpur,,KTR,
780.0,08-Aug-2023 03:00 PM,14-Sep-2023 11:00 AM,15-Sep-2023 03:30 PM,[Supervision Consultancy] [NHAI/RO-DDN/PIU-NBD/OM/NGN-KSP] [2023_NHAI_163743_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,,
781.0,29-Nov-2022 06:30 PM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[Construction of 4laning of Marakkanam(Design Km62.000) to Puducherry(Design Km108.042) of Mamallapuram Puducherry section of NH332A in Tamil Nadu on HAM.] [NHAI/TN/ HAM/NH-332A/P-3/ Marak-Mort/Procurement] [2022_NHAI_136832_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,,Tamil Nadu on HAM .
782.0,08-Sep-2023 06:50 PM,14-Sep-2023 11:00 AM,15-Sep-2023 11:00 AM,[EEE-III/RZ/TC/2023-24/09.1] [EEE-III/RZ/TC/2023-24/09.1] [2023_MCD_167139_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
783.0,08-Sep-2023 11:00 AM,14-Sep-2023 11:00 AM,15-Sep-2023 11:00 AM,"[Repair and renovation of various government quarters at Mehram Nagar Police Colony, New Delhi.] [262/DPHCL/ENGG/NIT/2023-24] [2023_DPHCL_166853_1]",Delhi Police Housing Corporation Ltd,,,"Mehram Nagar Police Colony , New Delhi ."
784.0,25-Nov-2022 06:00 PM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[4 Laning of Ariyanendal to Perungulam Sec of NH49 (New NH87)frm Design Ch.80.360 (Existing km 80.360)to Design Ch.127.025 (Existing km 127.289)(Design length 46.665km) on HAM Mode in the State of Tamil Nadu] [NHAI/TN/HAM/ NH-49/Ariya-peru/ Procurement] [2022_NHAI_136550_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,Laning,Tamil Nadu
785.0,08-Sep-2023 03:00 PM,14-Sep-2023 11:00 AM,15-Sep-2023 11:00 AM,[EEE-II/TC/2023-24/09.1] [EEE-II/TC/2023-24/09.1] [2023_MCD_167062_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
786.0,15-Jun-2023 06:30 PM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[Development Operation and Maintenance of Ropeway from Brahmagiri to Anjaneri Hills at Nashik in the State of Maharashtra on Hybrid Annuity Mode.] [NHAI/Ropeways/Nashik/2023] [2023_NHAI_157655_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,,Maharashtra on Hybrid Annuity Mode .
787.0,17-Aug-2023 09:00 AM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[Construction of Foot over Bridges at 24 locations in Bangalore Nidagatta Mysore Section of NH275 from Km.18.000 to Km.135.304 in the State of Karnataka on EPC Mode.] [09/NHAI/RO-BNG/22016/Tender/23 ] [2023_NHAI_164680_1],National Highways Authority of India||RO-Bangalore - NHAI,,Bangalore,Karnataka on
788.0,02-Sep-2023 09:00 AM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[Engagement of user fee agency through CB at 6Lane access-controlled greenfield highway (NH152D) starting from Ismailabad (Gangheri) on NH-152 to Narnaul on EPC mode under Bharatmala Pariyojana in the State of Haryana] [NHAI/13013/547/CO/23-24 /CB/Ismailabad FP] [2023_NHAI_166452_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,,CB,
789.0,27-Jun-2023 11:00 AM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[Construction of I ROB with approaches at Bhaiyachowk and SR on Sangli Solapur II VUP at Yawali incl SVUP on Pune Solapur PkgII III VUP with street light work on SolapurYedshi IV SR and widening of Box culvert on Akkalkot Solapur in Maharashtra on EPC] [NHAI/RO/MUM/SLP/BW/2023-24/06] [2023_NHAI_158889_1],National Highways Authority of India||RO-Mumbai - NHAI,['INDIA'],ROB,Maharashtra on
790.0,02-Sep-2023 09:00 AM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender on DC Palli fee plaza in the State of Andhra Pradesh and upkeep/maintenance of adjacent Toilet blocks including recouping the consumable items ] [NHAI/13013/547/CO/23-24/CB/ DC Palli] [2023_NHAI_166455_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,,CB,adjacent
791.0,08-Sep-2023 11:00 AM,14-Sep-2023 11:00 AM,15-Sep-2023 11:00 AM,"[Repair and renovation of various government quarters at Mehram Nagar Police Colony, New Delhi.] [262/DPHCL/ENGG/NIT/2023-24] [2023_DPHCL_166853_1]",Delhi Police Housing Corporation Ltd,,,"Mehram Nagar Police Colony , New Delhi ."
792.0,08-Sep-2023 11:00 AM,14-Sep-2023 11:00 AM,15-Sep-2023 11:00 AM,"[Multiple Works of Repair and Renovation for Govt. accommodations allotted quarter at various location in Dwarka, New Delhi.] [263-266/DPHCL/ENGG] [2023_DPHCL_166860_1]",Delhi Police Housing Corporation Ltd,,Multiple,"Dwarka , New Delhi ."
793.0,25-Feb-2023 09:00 AM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[Construction of 4 Lane Flyover from MES College Junction to Bogmalo Junction on NH566 from km 7.106 to km 10.460 and 4 Lane VUP at Queeny Nagar Junction from km 3.330 to km 4.550 on EPC Mode in the State of Goa.] [NHAI/PC/2023(MES College Queeny Nagar)] [2023_NHAI_146949_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,,MES,Goa .
794.0,24-Aug-2023 05:00 PM,14-Sep-2023 11:00 AM,15-Sep-2023 11:00 AM,[SUPPLY AND SAFE DELIVERY OF CARTRIDGE- INSULIN] [RR Site/Stations/Common/CMM/79255] [2023_NPCIL_165594_1],Nuclear Power Corporation Of India Limited||Rawatbhata Rajasthan Site - NPCIL||Contracts and Materials Management-NPCIL,,,CARTRIDGE- INSULIN
795.0,02-Sep-2023 09:00 AM,14-Sep-2023 11:00 AM,15-Sep-2023 11:30 AM,[Engagement of user fee collection agency on the basis of CB through etender on DC Palli fee plaza in the State of Andhra Pradesh and upkeep/maintenance of adjacent Toilet blocks including recouping the consumable items ] [NHAI/13013/547/CO/23-24/CB/ DC Palli] [2023_NHAI_166455_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI,,CB,adjacent
796.0,07-Sep-2023 09:00 AM,14-Sep-2023 11:30 AM,14-Sep-2023 12:00 PM,[supply of spare parts for knap sack pumps] [9.4/MW/AUTO/CLZ/2023-24/TC] [2023_MCD_166958_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,knap sack pumps
797.0,06-Sep-2023 06:50 PM,14-Sep-2023 11:30 AM,14-Sep-2023 12:00 PM,[Supply of batteries for vehicles] [9.3/MW/AUTO/CLZ/2023-24/TC] [2023_MCD_166953_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,vehicles
798.0,06-Sep-2023 06:30 PM,14-Sep-2023 11:30 AM,14-Sep-2023 12:00 PM,[Engine overhauling of tipper truck] [9.2/MW/AUTO/CLZ/2023-24/TC] [2023_MCD_166944_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,tipper truck
799.0,06-Sep-2023 06:00 PM,14-Sep-2023 11:30 AM,14-Sep-2023 12:00 PM,[Repairing of 3KL water tanker] [9.1/MW/AUTO/CLZ/2023-24/TC] [2023_MCD_166941_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,3KL water tanker
800.0,29-Aug-2023 05:30 PM,14-Sep-2023 11:30 AM,15-Sep-2023 03:30 PM,[SUPPLY AND COMMISSIONING OF OIL FREE COMPACT AIR COMPRESSOR ] [P/C/34/SB/SP(TT)/STE/23-24] [2023_CSIR_166050_1],Council of Scientific and Industrial Research||CGCRI-Kolkatta - CSIR||Purchase-CGCRI - CSIR,,,OIL FREE COMPACT AIR COMPRESSOR
801.0,08-Sep-2023 05:00 PM,14-Sep-2023 12:00 PM,15-Sep-2023 12:00 PM,[EEE-III/RZ/TC/2023-24/08.2] [EEE-III/RZ/TC/2023-24/08.2] [2023_MCD_167089_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
802.0,21-Aug-2023 01:00 PM,14-Sep-2023 12:00 PM,14-Sep-2023 01:00 PM,[Selection of Consultancy Partner For DPR Preparation on Indigenous Submarine Cable Repair Facility in India] [TCIL/ITTII/301/2023] [2023_TCIL_165144_1],Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||IT Consulting Department - TCIL,,Indigenous,India
803.0,17-Aug-2023 06:00 PM,14-Sep-2023 12:00 PM,15-Sep-2023 12:00 PM,[OFC Rehabilitation work in RTTC Division] [DGMTP-LW/T-04/2023-24] [2023_BSNL_164821_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Northern Telecom Maintenance Region||Sr.GM (M) Lucknow,,OFC,
804.0,08-Sep-2023 05:00 PM,14-Sep-2023 12:00 PM,15-Sep-2023 12:00 PM,[EEE-III/RZ/TC/2023-24/08.1] [EEE-III/RZ/TC/2023-24/08.1] [2023_MCD_167085_1],Municipal Corporation of Delhi||Engineering - MCD||Electrical - MCD,,,
805.0,01-Sep-2023 05:40 PM,14-Sep-2023 12:00 PM,15-Sep-2023 12:00 PM,"[Selection of Partners for Supply, Design, Installation, Testing, Commissioning and Integration of Tier-1/2/3 MPLS Routers with Existing MPLS and DWDM Network] [TCIL/ITTII/310/2023] [2023_TCIL_166422_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||Telecom Consultancy Division - TCIL,['TELECOM'],Selection,Existing MPLS and DWDM Network
806.0,25-Aug-2023 06:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 4 Section-1] [-403983 VSK BA-28/11(11)/ 7/2023-CM PROJECT-II VM] [2023_BSNL_165740_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
807.0,25-Aug-2023 06:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 4 Section-5] [-403983 VSK BA-28/11(11)/ 7/2023-CM PROJECT-II VM] [2023_BSNL_165740_5],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
808.0,25-Aug-2023 06:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 4 Section-2] [-403983 VSK BA-28/11(11)/ 7/2023-CM PROJECT-II VM] [2023_BSNL_165740_2],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
809.0,28-Jul-2023 06:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 02:30 PM,[RML High Defenition Camera System with monitor with light source and Telescope with complete FESS set] [HITES/PCD/RML/02/MIX/23-24 ] [2023_HITE_162696_2],HITES,,RML,complete
810.0,28-Jul-2023 06:05 PM,14-Sep-2023 01:00 PM,15-Sep-2023 02:30 PM,[RML Nerve Inegrity Monitor] [HITES/PCD/RML/02/MIX/23-24 ] [2023_HITE_162696_4],HITES,,RML,
811.0,28-Jul-2023 06:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 02:30 PM,[RML Apheresis Machine] [HITES/PCD/RML/02/MIX/23-24 ] [2023_HITE_162696_3],HITES,,RML,
812.0,25-Aug-2023 06:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 4 Section-6] [-403983 VSK BA-28/11(11)/ 7/2023-CM PROJECT-II VM] [2023_BSNL_165740_6],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
813.0,28-Jul-2023 06:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 02:30 PM,[RML ENT TREATMENT UNIT] [HITES/PCD/RML/02/MIX/23-24 ] [2023_HITE_162696_1],HITES,,RML,
814.0,28-Jul-2023 06:10 PM,14-Sep-2023 01:00 PM,15-Sep-2023 02:30 PM,[RML AO Type Ortho General Instruments] [HITES/PCD/RML/02/MIX/23-24 ] [2023_HITE_162696_5],HITES,,RML,
815.0,25-Aug-2023 06:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 4 Section-3] [-403983 VSK BA-28/11(11)/ 7/2023-CM PROJECT-II VM] [2023_BSNL_165740_3],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
816.0,25-Aug-2023 06:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 4 Section-5] [-403983 VSK BA-28/11(11)/ 7/2023-CM PROJECT-II VM] [2023_BSNL_165740_5],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
817.0,25-Aug-2023 05:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 3] [E-403977 VSK BA-28/11(11)/ 6/2023-CM PROJECT-II VM] [2023_BSNL_165701_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
818.0,22-Aug-2023 02:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 02:30 PM,[Battery Drill System(Orthopedic operated Drill System)] [HITES/PCD/RML/04/ORTHO/23-24 ] [2023_HITE_165238_1],HITES,,Battery,
819.0,06-Sep-2023 06:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 03:00 PM,[AMC for Maintenance with Calibration of PM2.5 Samplers and RSPM / PM10 Sampllers] [PUR-147/AMC/HZC/2023-24] [2023_CSIR_166848_1],Council of Scientific and Industrial Research||NEERI-Nagpur - CSIR||Purchase-NEERI - CSIR,,AMC,PM2.5 Samplers and
820.0,24-Aug-2023 06:40 PM,14-Sep-2023 01:00 PM,15-Sep-2023 03:00 PM,[HIRING OF SERVICES FOR CARRYING OUT NDT TESTING INSPECTION AND CERTIFICATION OF PROCESS PIPELINE PRESSURE VESSELS LIFITING TOOLS AND TACKLES AT KLL DABHOL] [KLL/CNP/MECH/SFL027/2023-24] [2023_KLL_165642_1],Konkan LNG Limited,,,KLL DABHOL
821.0,25-Aug-2023 06:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 4 Section-2] [-403983 VSK BA-28/11(11)/ 7/2023-CM PROJECT-II VM] [2023_BSNL_165740_2],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
822.0,25-Aug-2023 05:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 3 Section-4] [E-403977 VSK BA-28/11(11)/ 6/2023-CM PROJECT-II VM] [2023_BSNL_165701_4],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
823.0,25-Aug-2023 05:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 3] [E-403977 VSK BA-28/11(11)/ 6/2023-CM PROJECT-II VM] [2023_BSNL_165701_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
824.0,25-Aug-2023 05:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 3 Section-6] [E-403977 VSK BA-28/11(11)/ 6/2023-CM PROJECT-II VM] [2023_BSNL_165701_6],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
825.0,25-Aug-2023 05:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 3 Section-2] [E-403977 VSK BA-28/11(11)/ 6/2023-CM PROJECT-II VM] [2023_BSNL_165701_2],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
826.0,25-Aug-2023 05:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 3 Section-3] [E-403977 VSK BA-28/11(11)/ 6/2023-CM PROJECT-II VM] [2023_BSNL_165701_3],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
827.0,25-Aug-2023 05:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 01:00 PM,[4G BackhaulOFC Laying Route 3 Section-5] [E-403977 VSK BA-28/11(11)/ 6/2023-CM PROJECT-II VM] [2023_BSNL_165701_5],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam,,,
828.0,06-Sep-2023 06:00 PM,14-Sep-2023 01:00 PM,15-Sep-2023 03:00 PM,[AMC for Maintenance with Calibration of PM2.5 Samplers and RSPM / PM10 Sampllers] [PUR-147/AMC/HZC/2023-24] [2023_CSIR_166848_1],Council of Scientific and Industrial Research||NEERI-Nagpur - CSIR||Purchase-NEERI - CSIR,,AMC,PM2.5 Samplers and
829.0,15-May-2023 01:10 PM,14-Sep-2023 02:00 PM,14-Sep-2023 04:00 PM,"[AIIA Supply, Installation of Immunoassay Analyzer Fully Automated] [HITES/PCD/AIIA/04/22-23] [2023_HLL_154141_3]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,,AIIA,Immunoassay Analyzer Fully Automated
830.0,15-May-2023 01:00 PM,14-Sep-2023 02:00 PM,14-Sep-2023 04:00 PM,"[AIIA Supply, Installation of Human Patient Simulator (Adult Male)] [HITES/PCD/AIIA/04/22-23] [2023_HLL_154141_2]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,,AIIA,
831.0,01-Sep-2023 09:00 AM,14-Sep-2023 02:00 PM,15-Sep-2023 02:30 PM,"[R and R of Chamunda Mandir, Khurja] [WAP/PHIW/KHURJA/KSTPP/23-24/2] [2023_WAPCO_166321_1]",WAPCOS Limited||Centre for Port and Harbour and Inland Waterways||Port and Harbour (Gurgaon) - CPHIW,,Khurja,"Chamunda Mandir ,"
832.0,31-Aug-2023 04:30 PM,14-Sep-2023 02:00 PM,15-Sep-2023 02:30 PM,[Calibration of instruments] [IREL/MK/ET/29/2023] [2023_IREL_166272_1],IREL (INDIA) Limited||Corporate Office Mumbai - IREL,['INDIA'],,instruments
833.0,31-Aug-2023 04:00 PM,14-Sep-2023 02:00 PM,15-Sep-2023 02:30 PM,"[AMC for clearing of drainage, road, valley gutters, etc. in MK plant premises] [IREL/MK/ET/28/2023] [2023_IREL_166250_1]",IREL (INDIA) Limited||Corporate Office Mumbai - IREL,['INDIA'],AMC,
834.0,21-Aug-2023 06:30 PM,14-Sep-2023 02:00 PM,15-Sep-2023 02:30 PM,[AUGMENTATION OF LIGHTNING PROTECTION SYSTEM AT LONI O AND M BASE OF GAIL JLPL] [GAIL/C AND P/JPR23VS059/2023 TO 2024] [2023_GAIL_165192_1],GAIL (India) Limited||GAIL India Limited- Jaipur,"['INDIA', 'JAIPUR']",,GAIL JLPL
835.0,24-Apr-2023 03:30 PM,14-Sep-2023 02:00 PM,14-Sep-2023 04:00 PM,"[AIIA-03 Supply, Installation of MRI Machine 3T] [HITES/PCD/AIIA/03/22-23] [2023_HLL_152426_1]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,,,MRI Machine 3 T
836.0,15-May-2023 01:10 PM,14-Sep-2023 02:00 PM,14-Sep-2023 04:00 PM,"[AIIA Supply, Installation of Immunoassay Analyzer Fully Automated] [HITES/PCD/AIIA/04/22-23] [2023_HLL_154141_3]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,,AIIA,Immunoassay Analyzer Fully Automated
837.0,15-May-2023 12:50 PM,14-Sep-2023 02:00 PM,14-Sep-2023 04:00 PM,"[AIIA Supply, Installation of Echo cardiography machine] [HITES/PCD/AIIA/04/22-23] [2023_HLL_154141_1]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,,AIIA,
838.0,15-May-2023 01:00 PM,14-Sep-2023 02:00 PM,14-Sep-2023 04:00 PM,"[AIIA Supply, Installation of Human Patient Simulator (Adult Male)] [HITES/PCD/AIIA/04/22-23] [2023_HLL_154141_2]",HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,,AIIA,
839.0,30-Jun-2023 04:00 PM,14-Sep-2023 02:00 PM,15-Sep-2023 02:00 PM,[DC/B378-000-YT-MR-1410/247] [DC/B378-000-YT-MR-1410/247] [2023_GAIL_157487_1],GAIL (India) Limited||Project Management Consultant-PMC for GAIL India Ltd||ENGINEERS INDIA LIMITED-PMC,['INDIA'],DC,
840.0,06-Sep-2023 01:00 PM,14-Sep-2023 02:00 PM,15-Sep-2023 03:00 PM,[DE/TP/RYP/ETndr/23-24/12 1.9.23] [DE/TP/RYP/E-Tender/ 2023-24/12 Dt01.09.2023] [2023_BSNL_166823_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||WTR, Nagpur",,DE,
841.0,06-Sep-2023 01:00 PM,14-Sep-2023 02:00 PM,15-Sep-2023 03:00 PM,[DE/TP/RYP/ETndr/23-24/12 1.9.23] [DE/TP/RYP/E-Tender/ 2023-24/12 Dt01.09.2023] [2023_BSNL_166823_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||WTR, Nagpur",,DE,
842.0,24-Aug-2023 02:00 PM,14-Sep-2023 02:00 PM,15-Sep-2023 03:00 PM,[GMT-NGD BA/MM/NGD/OFC Backhaul/2023-24/ dtd.16.08.2023] [GMT-NGD BA/MM/NGD/OFC Backhaul/2023-24/ dtd.16.08.] [2023_BSNL_165556_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Telengana Telecom Circle- Hyderabad||GMTD Nalgonda,,GMT,
843.0,31-Aug-2023 10:00 AM,14-Sep-2023 02:30 PM,15-Sep-2023 03:00 PM,[Supply of Hardwood Planks] [TCF/MM/2012/23] [2023_CCI_166145_1],Cement Corporation of India Limted||Tandur Cement Factory - CCI,['INDIA'],,Hardwood Planks
844.0,31-Aug-2023 10:00 AM,14-Sep-2023 02:30 PM,15-Sep-2023 03:00 PM,[Supply of Indian Standard Sand Grade I] [TCF/MM/2019/22/R] [2023_CCI_166150_1],Cement Corporation of India Limted||Tandur Cement Factory - CCI,['INDIA'],,Indian Standard Sand Grade I
845.0,21-Aug-2023 05:00 PM,14-Sep-2023 02:30 PM,15-Sep-2023 03:00 PM,"[E-Tender for Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works under 4G Saturation Project in villages in Salumber,Sarada,Lasadiya(12 locations) in Udaipur S] [RJUPRD-23/11(16)25/2023-ADMN AND PLG UPR] [2023_BSNL_165174_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Udaipur||JTO (Plg),,Optical,Udaipur S
846.0,31-Aug-2023 10:00 AM,14-Sep-2023 02:30 PM,15-Sep-2023 03:00 PM,[Supply of Casurina Wooden Ballies] [TCF/MM/6009/23] [2023_CCI_166142_1],Cement Corporation of India Limted||Tandur Cement Factory - CCI,['INDIA'],,Casurina Wooden Ballies
847.0,16-Aug-2023 05:30 PM,14-Sep-2023 02:30 PM,15-Sep-2023 03:00 PM,[Request for Proposal (RFP) For Empanelment of agencies to Carry-out Drone Analytics Monitoring System for NHAI projects] [NHAI/Drone Analytics/001/2023] [2023_NHAI_164654_1],National Highways Authority of India,,Drone,NHAI projects
848.0,22-Aug-2023 03:00 PM,14-Sep-2023 02:30 PM,15-Sep-2023 03:00 PM,"[HIRING OF CONTRACT FOR CONSTRUCTION OF OFFICERS CLUB CUM RECREATION CENTER AT BCPL, TOWNSHIP, BARBARUAH] [BCPL/CNP/LE23W059BB/02767] [2023_BCPL_165270_1]",Brahmaputra Cracker and Polymer Limited||C and P - BCPL,,TOWNSHIP,"BCPL ,"
849.0,02-Sep-2023 12:00 PM,14-Sep-2023 02:30 PM,14-Sep-2023 03:00 PM,[SUPPLY OF DIAMOND WHEELS WITH ALLUMINIUM BODY FOR R12 M/C] [603/0228/2023] [2023_CEL_166473_1],Central Electronics Limited,,,R12 M / C
850.0,22-Aug-2023 02:15 PM,14-Sep-2023 02:30 PM,15-Sep-2023 03:00 PM,"[E-Tender for Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works under 4G Saturation Project in villages in GIRWA-BADGAON-VBN (10 LOCATIONS) in Udaipur SSA.] [RJUPRD-23/11(16)/20/2023-ADMN AND PLG-UPR] [2023_BSNL_165264_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Udaipur||JTO (Plg),,Optical,Udaipur SSA .
