Tender,Company,Procurement,Notice,Location,Closing,Value,Date,Tender_Url
Offsite Mortuary Services,Lincolnshire Community Health Service NHS Trust,  Opportunity,  Open,  LN5 7JH,"  13 October 2022, 12pm",Contract value £0,"  13 September 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/13790ac4-8ec9-462f-bc84-051b8e8d6e17?origin=SearchResults&p=9
"Service, Inspection, Repair & Installation of Active Fire Protection & Alarm Systems (including security systems)",GreenSquareAccord,  Opportunity,  Open,  SN14 0GU,"  13 October 2022,  5pm","Contract value £13,500,000 to £14,500,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/87702c06-6591-42a2-9a73-d09686d33e61?origin=SearchResults&p=10
Treasury Management (CF150 Sept 22),Cheshire West and Chester Borough Council,  Opportunity,  Open,  England,"  21 September 2022, 12pm","Contract value £75,000","  31 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/5fe269e6-e507-4bb2-afe5-f64cab798b38?origin=SearchResults&p=10
LPS CORP - Supply and Delivery of Ergonomic Chairs and Provision of Display Screen Equipment (DSE) Assessments  - RFQ 15343259,Lancashire County Council,  Opportunity,  Open,  North West,"   3 October 2022, 10am","Contract value £200,000","   2 September 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/ff894530-45be-4ce8-a25e-3c790405e30f?origin=SearchResults&p=10
Lift Servicing & Maintenance Contract including refurbishments,GreenSquareAccord,  Opportunity,  Open,  SN14 0GU,"   7 October 2022,  5pm","Contract value £5,600,000 to £7,000,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/828bb90e-0b85-4d9d-8d1c-c3baf471f5b4?origin=SearchResults&p=10
"NCC1005 Allerburn Drylining, Mechanical & Labour Only Joinery Subcontractors",Advance Northumberland Limited,  Opportunity,  Open,  North East,"  21 September 2022, 12pm",Contract value £0,"  22 August 2022, last edited 14 September 2022",https://www.contractsfinder.service.gov.uk/notice/b19ac1ef-64d0-447e-8029-d982f5198242?origin=SearchResults&p=10
Research to provide a Comprehensive Overview of UK-Japan CEPA Utilisation,Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"  28 September 2022, 10am","Contract value £75,000",  14 September 2022,https://www.contractsfinder.service.gov.uk/notice/e2807926-c68d-4edc-ab24-80666095626b?origin=SearchResults&p=10
Consultancy for Detailed Project Development for Walsall District Heat Network,West Midlands Combined Authority,  Opportunity,  Open,  B19 3SD,"  11 October 2022, 12pm","Contract value £170,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/ec316e73-bdf8-4e1d-971c-671f0b8755a3?origin=SearchResults&p=10
Hilton Scout & Guide Hut Extension,Hilton Scout & Guide Hut,  Opportunity,  Open,  DE65 5GH,"  28 October 2022, 11:59pm","Contract value £90,000 to £125,000","  27 June 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/8234b7d3-9124-437f-b819-17cea07b1c00?origin=SearchResults&p=10
CA11059 - Epping Roof Remedial Roof works,New City College,  Opportunity,  Open,  E14 0AF,"  23 September 2022, 12pm",Contract value £0,"   7 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/684782e9-4822-4210-adce-7107d9414a43?origin=SearchResults&p=10
CA11087 - Tender for the provision of Internal Audit and Counter Fraud Services,MSE Group,  Opportunity,  Open,  SS2 6GE,"  14 October 2022,  5pm",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/6f2e06c1-fe8c-44c5-89f2-2e07efa8ef7d?origin=SearchResults&p=10
"Legionella Risk Assessments, Periodic Inspections and Remedial Works",GreenSquareAccord,  Opportunity,  Open,  SN14 0GU,"   7 October 2022,  5pm","Contract value £6,500,000 to £7,500,000","  13 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/f116c5d5-8b61-43c5-812a-631deeeab62f?origin=SearchResults&p=10
Single provider approach to advocacy services: (IMHA) (IMCA) (IHCAS) (CAA) [SEPT-22],London Borough of Barnet,  Opportunity,  Open,  London,"  12 October 2022, 12pm","Contract value £2,400,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/b3381f73-0bad-46c3-8c6d-f90f80e5de99?origin=SearchResults&p=10
Peat for the Planet Green Finance,Natural England,  Opportunity,  Open,  England,"  26 September 2022,  5pm","Contract value £10,000 to £24,999",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/d25ea244-79cc-4576-93dc-7fa4cc373199?origin=SearchResults&p=10
AE MGPS,NHS South West - Acutes,  Opportunity,  Open,  BS10 5NB,"  30 September 2022, 12pm","Contract value £50,000 to £70,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/e0cf4754-89a2-402e-9d5a-02e0071fe6a6?origin=SearchResults&p=10
CA11089 - PAINTING AND DECORATING TENDER FOR NEW COLLEGE SWINDON,New College Swindon,  Opportunity,  Open,  SN3 1AH,"  20 October 2022, 10am","Contract value £60,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/4b841473-054f-4372-b7bd-27abf7e31048?origin=SearchResults&p=10
TD045-21 EDC Clock Tower Improvements,EU SUPPLY LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"   7 October 2022,  1pm","Contract value £500,000 to £500,001","  31 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/abab6fb5-835b-4b5b-9572-e6c294fa3c75?origin=SearchResults&p=10
Fish Species Symposium,Natural England,  Opportunity,  Open,  England,"  28 September 2022,  5pm","Contract value £1,000 to £24,999",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/3a7053ed-fad1-4999-8ff7-c9c955d9a3f5?origin=SearchResults&p=10
Cambridge City Council - Replacement Fleet Management System,Cambridge City Council,  Opportunity,  Open,  England,"  24 October 2022, 12pm","Contract value £45,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/64a84c29-7f76-471f-bf14-034a2e4f0ecb?origin=SearchResults&p=10
ESPH AB HBC Cliff Maintenance (ESPH557TI),Hastings Borough Council,  Opportunity,  Open,  TN34 3UY,"  30 September 2022,  1pm","Contract value £150,000","  17 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/9312e467-ce7b-471c-a401-bb258ba5f796?origin=SearchResults&p=10
CA11073 - Sheringdale Primary School Catering Tender September 2022,Pan Consulting,  Opportunity,  Open,  RG17 7JL,"  20 October 2022,  2pm","Contract value £377,767",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/29942de6-6480-4daa-91ef-fe9c8ff67c16?origin=SearchResults&p=10
GB-London: Sammy Ofer Wing Ramps - Paving,National Maritime Museum,  Opportunity,  Open,  London,"  14 October 2022, 12pm","Contract value £100,000 to £500,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/742694f6-a4f6-4005-9077-51fb20eb37ce?origin=SearchResults&p=11
The Western Expansion Area Fairfields Local Park 4 Play Area Construction Works Contract,Milton Keynes Council,  Opportunity,  Open,  MK9 3EJ,"  16 September 2022, 12pm",Contract value £0,"  18 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/993a1511-20d5-4810-b97b-abce236af5d0?origin=SearchResults&p=11
Type Archive Decant: Object Transport Services,Science Museum Group,  Opportunity,  Open,  SW7 2DD,"  21 October 2022,  5pm","Contract value £0 to £200,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/35d5bac8-8497-48e4-bfb8-865a4bb16fdb?origin=SearchResults&p=11
22 055 - Translation & Interpretation Services,Cheshire East Borough Council,  Opportunity,  Open,  England,"  14 October 2022,  2pm","Contract value £950,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/3a0fc23f-9f3c-4f17-a8cb-ae8deef50bf2?origin=SearchResults&p=11
DNA Service Provider,Defence Science and Technology Laboratory,  Opportunity,  Open,  South East,"  14 October 2022, 11:59pm","Contract value £2,445,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/ad27739f-7a66-4ca9-a6e5-34afbefc07a0?origin=SearchResults&p=11
Oxford Direct Services - Window Cleaning,Oxford City Council,  Opportunity,  Open,  England,"  30 September 2022, 12pm","Contract value £90,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/ec575b96-37ff-4ddd-8a54-67a85397486e?origin=SearchResults&p=11
GB-Long Stratton: Diss Leisure Centre Long Stratton Leisure Centre Wymondham Leisure Centres,South Norfolk Council,  Opportunity,  Open,  East of England,"  27 September 2022, 12pm","Contract value £50,000 to £100,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/62e48c19-887c-4a02-a965-efd8ad906e40?origin=SearchResults&p=11
Kirklees Cultural Heart Venue Operator Procurement,Kirklees Council,  Opportunity,  Open,  Yorkshire and the Humber,"  31 October 2022, 12pm","Contract value £62,500,000 to £62,500,001","  15 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/274f7c51-fa16-4d38-8803-c3b053b11f75?origin=SearchResults&p=11
Provision of FM Services,The ACC Liverpool Group Limited,  Opportunity,  Open,  North West,"  22 September 2022,  4pm","Contract value £3,500,000","  18 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/f08c9da9-65e3-4ce8-9f95-713d18393aac?origin=SearchResults&p=11
Great Yarmouth Refurbishment Projects - 4 Properties,Progress Housing Group,  Opportunity,  Open,  England,"  11 October 2022,  1pm","Contract value £400,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/09232881-987c-4de1-81a2-aa3c6c308897?origin=SearchResults&p=11
"Supply of Electricity - Half Hourly, Non Half Hourly and Unmetered supplies",Blackpool Council,  Opportunity,  Open,  Fy1 3ah,"  14 October 2022, 12pm",Contract value £0,"  24 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/811616fd-aec8-4eed-820e-3d9d57bc46af?origin=SearchResults&p=11
EBC DP Ditton & Littleworth Track Surfacing Project,Elmbridge Borough Council,  Opportunity,  Open,  KT10 9SD,"  18 October 2022, 12pm",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/c3f24df4-1967-48f0-98d2-ece37f7605c0?origin=SearchResults&p=11
NHMF Frameworx Consultancy Framework Agreements 2022 - Energy Consultancy Services,NHMF (NPC) LIMITED,  Opportunity,  Open,"  England, Scotland, Wales, Northern Ireland","   3 October 2022,  3pm","Contract value £3,000,000 to £32,000,000","   6 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/92247552-438c-4dd4-a4ce-008004f038e5?origin=SearchResults&p=11
NHMF Frameworx Consultancy Framework Agreements 2022 - Compliance Consultancy Services Tranche 2,NHMF (NPC) LIMITED,  Opportunity,  Open,"  England, Scotland, Wales, Northern Ireland","   6 October 2022,  3pm","Contract value £3,000,000 to £20,000,000","   6 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/57cd802c-f37b-48eb-bbba-abea23dfb5bf?origin=SearchResults&p=11
CPU 5803 - Bus Stop Maintenance & Inspection,Nottingham City Council,  Opportunity,  Open,  England,"  11 October 2022, 12pm","Contract value £225,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/f1001e9a-1468-497a-bf2b-1cc1cd1e6280?origin=SearchResults&p=11
NHMF Frameworx Consultancy Framework Agreements 2022 - Compliance Consultancy Services Tranche 1,NHMF (NPC) LIMITED,  Opportunity,  Open,"  England, Scotland, Wales, Northern Ireland","   4 October 2022,  3pm","Contract value £3,000,000 to £20,000,000","   6 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/18408d25-240e-4f40-af75-90eb686f35b6?origin=SearchResults&p=11
"Multi use Games/Sports Area at the Recreation Field, Wrington",Wrington Parish Council,  Opportunity,  Open,  BS40 5QN,"  10 October 2022, 10am","Contract value £50,000 to £99,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/9f943ce8-32a2-4267-b131-14c7608a9046?origin=SearchResults&p=11
NHMF Frameworx Consultancy Framework Agreements 2022 - Asset Management Consultancy Services,NHMF (NPC) LIMITED,  Opportunity,  Open,"  England, Scotland, Wales, Northern Ireland","  13 October 2022,  3pm","Contract value £3,000,000 to £20,000,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/7de4e17a-b9c0-4b10-aa5f-88b256f66695?origin=SearchResults&p=11
Bedding Plants 2022-2025,Cheshire west and Chester Borough Council,  Opportunity,  Open,  England,"   5 October 2022, 10am","Contract value £153,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/c6a0be90-2af7-4790-82f9-68de12aa77b2?origin=SearchResults&p=11
Provision of Content and a new STEM based digital platform,Greater Birmingham and Solihull Institute of Technology,  Opportunity,  Open,  B91 1SB,"  20 September 2022, 12pm","Contract value £100,000 to £1,000,000","  16 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/957651a0-0776-4ffd-b945-dfd0f3cbb389?origin=SearchResults&p=11
Oxford Direct Services - Category A waste Disposal,Oxford Direct Services Limited,  Opportunity,  Open,  England,"  23 September 2022, 12pm","Contract value £140,000","  31 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/e7385e62-9ba5-4b29-bc00-9f707caab645?origin=SearchResults&p=12
Hanlith & Malham Bridge Repairs,EU SUPPLY LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  27 September 2022, 12pm","Contract value £30,000 to £35,000","  30 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/5e49d76b-4c99-42e6-9397-55b0711c4269?origin=SearchResults&p=12
Whitby Park ice cream concession,Cheshire west and Chester Borough Council,  Opportunity,  Open,  England,"   5 October 2022, 10am",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/0a1b07a2-aacd-4f99-9899-102571183502?origin=SearchResults&p=12
Market Engagement for Leaseholders Property Insurance,GATESHEAD COUNCIL,  Early engagement,  Open,  North East,  27 September 2022,Publication date 13 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/d21f5d57-0b9a-41fa-a614-15bd41b97c21?origin=SearchResults&p=12
Calender Equipment for UKBIC Technology Line,UK Battery Industrialisation Centre,  Early engagement,  Open,  England,   7 November 2022,"Publication date 13 September 2022, last edited 13 September 2022",None,https://www.contractsfinder.service.gov.uk/notice/80b217a4-96e8-4d68-9a5b-68e1554f5872?origin=SearchResults&p=12
Provision of a Digital Health & Safety Management System,THE COMMUNITY HOUSING GROUP LIMITED,  Opportunity,  Open,  DY11 7PT,"  17 October 2022,  1pm","Contract value £12,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/c559cf8a-5624-410a-98f6-313e74085f37?origin=SearchResults&p=12
Mechanical and Electrical Planned and Reactive Maintenance,Cleveland Fire Authority,  Early engagement,  Open,  TS25 5TH,  30 September 2022,Publication date 13 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/9d5f4238-4e64-464a-a6f0-b2741431332f?origin=SearchResults&p=12
Coating/Dryer Equipment for UKBIC Technology Line,UK Battery Industrialisation Centre,  Early engagement,  Open,  England,   7 November 2022,Publication date 13 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/e78d02cd-e190-496f-9174-451613dbe886?origin=SearchResults&p=12
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  16 September 2022, 10am",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/b42bfcf9-fd50-49f4-a791-fa6b5ff6cd96?origin=SearchResults&p=12
Soft Landscaping - Soft Landscaping - Parks,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  20 September 2022,  9am",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/dedef35b-7f58-4b24-8e17-0fa24cfbfcd4?origin=SearchResults&p=12
NUN -Vale View New Build Development,Nuneaton & Bedworth BC (NUN),  Opportunity,  Open,  CV11 5AA,"  25 October 2022, 12pm","Contract value £0 to £2,900,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/ee13cf06-9506-4ff5-8a40-e1e4460cec30?origin=SearchResults&p=12
HFL Education - Occupational Health and Employee Assistance Programme - Framework Agreement,Herts for Learning Limited,  Opportunity,  Open,  SG1 2FQ,"  20 September 2022,  5pm",Contract value £0,"  16 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/06884130-b9ba-4f52-8596-b3cf5abfd229?origin=SearchResults&p=12
CPU 4411 (MDC) Pantomime Production at Mansfield Palace Theatre,Nottingham City Council,  Opportunity,  Open,  East Midlands,"   4 November 2022, 12pm","Contract value £300,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/6d91647a-ea1f-4a2d-90b1-6dd8c66599ac?origin=SearchResults&p=12
"e-ITT for the Design and Build of Ophelia Court: dwellings at the Former Scout Hut site, Montefiore Drive, Sarisbury Green, Southampton SO31 7NL.",Fareham Borough Council,  Opportunity,  Open,  England,"  20 September 2022, 11:59pm","Contract value £1,782,000","   5 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/33bff86c-8a95-49d5-92c7-2cf0c50502e1?origin=SearchResults&p=12
Power to Sustainable Fuel Pilot Plant (4 lots),UNIVERSITY OF SHEFFIELD,  Opportunity,  Open,  Yorkshire and the Humber,"  21 October 2022, 12pm","Contract value £2,095,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/f399d708-b7fa-470a-8ad3-07a02bf578b5?origin=SearchResults&p=12
CA10949 - Moorfields Eye Hospital - Outsourcing Clinical Sterilisation Services,Moorfields Eye Hospital NHS Foundation Trust,  Opportunity,  Open,  EC1V 2PD,"  23 September 2022,  5pm","Contract value £6,500,000","  12 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/62c63a32-8b1d-48d4-ac59-4984760a9ec7?origin=SearchResults&p=12
Principal Contractor - Principal contractor - Education (20% VAT),London Borough of Haringey,  Opportunity,  Open,  United Kingdom,"  20 September 2022, 12pm","Contract value £400,000","  12 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/b7ac27f0-127b-4a93-8430-e6b1a4bee8ee?origin=SearchResults&p=12
North East Area Magnesian Limestone Conceptual Model and Source Protection Zone Updates,Defra Network eTendering Portal,  Opportunity,  Open,  Any region,"  21 September 2022,  5pm",Contract value £0,"  19 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/44300957-5b59-4b65-8463-c9d3d8998699?origin=SearchResults&p=12
Multiply Learning Provision within Sunderland,Sunderland City Council,  Opportunity,  Open,  England,"  26 September 2022, 12pm",Contract value £0,"  25 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/cc5a2815-864b-4764-a381-b063d85908ec?origin=SearchResults&p=12
Supply of Fresh Milk & Bread,Southport & Ormskirk Hospital,  Opportunity,  Open,  PR8 6PN,"  26 October 2022, 12pm","Contract value £180,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/88d93ed2-2861-4790-aaba-6c1619f4c0ef?origin=SearchResults&p=12
703976453 / S&MOCB/3390 Provision of Wreck Management Research Contract,Ministry of Defence,  Opportunity,  Open,  Any region,"  14 October 2022, 10am","Contract value £780,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/62c9a7b4-93f3-4845-8cb6-0b3300b28efa?origin=SearchResults&p=13
INVITATION TO TENDER FOR THE SUPPLY OF EURO HEAVYWEIGHT AND LIGHTWEIGH PALLETS,EU SUPPLY LIMITED,  Opportunity,  Open,  West Midlands,"  20 September 2022,  4pm","Contract value £0 to £131,000","  19 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/8ddba25b-4d8a-4313-b6aa-70185404e684?origin=SearchResults&p=13
Invitation to tender for trailed triple deck roller mower,Rossendale Borough Council,  Opportunity,  Open,  ol13 0ar,"  30 September 2022, 12pm","Contract value £10,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/7911b14f-5b73-4817-920f-4fd2ab7ec91f?origin=SearchResults&p=13
ITT: Procurement of Ultrastable Laser,National Physical Laboratory,  Opportunity,  Open,  TW11 0LW,"  28 October 2022,  5pm",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/c85f1f85-3a0b-400f-b31f-31681cc4791f?origin=SearchResults&p=13
Arboricultural Supply - Arboricultural Supply - Trees,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  16 September 2022, 10am",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/e2a6813c-6178-4898-8742-24fa84f5ba81?origin=SearchResults&p=13
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Parks,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  30 September 2022, 10am",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/6489f258-26c3-4b69-8729-81c5bbf299d2?origin=SearchResults&p=13
"Kingston University, London ~ Catering and Hospitality Tender","Kingston University, London",  Opportunity,  Open,  South East,"  14 October 2022, 12pm","Contract value £21,000,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/4c1b6355-855a-449f-a6e5-a5335e614092?origin=SearchResults&p=13
Single Storey Extension To Provide Bathroom For Disabled Persons,Tameside Metropolitan Borough Council,  Opportunity,  Open,  SK14 6NU,"  11 October 2022, 12pm","Contract value £45,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/981624f5-9e99-48e4-99d0-ff331c33d699?origin=SearchResults&p=13
RA322454 - High End PC,City of Wolverhampton College,  Opportunity,  Open,  WV14 6BT,"  21 September 2022,  9am",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/b906847c-f383-4f20-a573-0d7d7c31d28d?origin=SearchResults&p=13
273_23 Document Presentation Equipment and Office Machines,Espo,  Opportunity,  Open,  United Kingdom,"  14 October 2022, 12pm","Contract value £6,000,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/fb3a80e0-9654-4ae6-8224-9a80634b7d20?origin=SearchResults&p=13
"CA11085 - Theatre Recovery Ward Refurbishment , Queens Hospital , Burton on Trent",University Hospitals of Derby and Burton NHS Foundation Trust,  Opportunity,  Open,  DE22 3NE,"  19 October 2022, 12pm",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/500bfea7-3407-42b2-b803-55b542de2da5?origin=SearchResults&p=13
"Supply of Toyota Land Cruiser Prado at British High Commission, Dhaka",Foreign Commonwealth and Development Office,  Opportunity,  Open,  Any region,"  26 September 2022,  5pm","Contract value £62,314.55",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/370c4bea-f905-4dc0-91c3-1b5906b346b7?origin=SearchResults&p=13
RFQ - National Measurement System SURVEY for Private Businesses,National Physical Laboratory,  Opportunity,  Open,  TW11 0LW,"   4 October 2022, 12pm",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/c1d69987-b783-4359-92dd-16fd168ce715?origin=SearchResults&p=13
Request for Information for provision of Social Work (Degree) Apprenticeship,Herefordshire Council,  Early engagement,  Open,  West Midlands,  26 September 2022,Publication date 13 September 2022,None,https://www.contractsfinder.service.gov.uk/notice/e1f1be06-3913-4d34-a815-935997468005?origin=SearchResults&p=13
Access Control and Warden Call,North Star Housing Group LTD,  Opportunity,  Open,  TS17 6QN,"  14 October 2022,  5pm","Contract value £250,000 to £300,000","  13 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/98f10afb-4aac-4190-b060-ecd04bd4a3d4?origin=SearchResults&p=13
Debt Recovery Support Service for Council Tax and National Non-Domestic (Business) Rates,Leicester City Council,  Opportunity,  Open,  United Kingdom,"  20 September 2022, 10am","Contract value £500,000","  18 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/ed78b86e-d3d1-41fe-96f8-a8e1133ea264?origin=SearchResults&p=13
Framework to provide Short Breaks for Children who are Disabled from April 2023 - Potential reopening,Dorset Council,  Future opportunity,  Open,  England,Approach to market date 21 October 2022,"Contract value £4,840,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/94816a68-39f1-46ee-855e-109cbbc3b70b?origin=SearchResults&p=13
Fire Reinstatement and LV Switch Works,Lancaster City Council,  Opportunity,  Open,  England,"  12 October 2022, 12pm",Contract value £0,"  24 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/ef78a2f1-48c0-4991-8aba-12239616bcb4?origin=SearchResults&p=13
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Other Sites,London Borough of Haringey - Parks and Leisure,  Opportunity,  Open,  United Kingdom,"  16 September 2022, 10am",Contract value £0,  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/8d6a06d6-e6ba-44cf-8b60-fc883b8b59d8?origin=SearchResults&p=13
Vertical Application Solutions,Crown Commercial Service,  Opportunity,  Open,  United Kingdom,"  21 September 2022,  3pm","Contract value £1,840,000,000","  12 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/422ee1d2-6ca2-4394-83c4-ad639810febe?origin=SearchResults&p=13
ADULT SOCIAL CARE REGIONAL ECONOMIC CONTRIBUTION REPORT,Leeds City Council,  Opportunity,  Open,  Yorkshire and the Humber,"   3 October 2022, 12pm","Contract value £0 to £50,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/d3cd3cab-de31-401b-8f8a-c9b21617fe71?origin=SearchResults&p=14
Grounds Maintenance - South Region,Accent Housing Limited,  Opportunity,  Open,  England,"  17 October 2022, 10am","Contract value £990,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/b4a1e6f2-cb93-436c-aa1d-c6904f790cf8?origin=SearchResults&p=14
(NU/1782) Supply and Installation of a Clinical Data Management System and a Randomisation System,Newcastle University,  Opportunity,  Open,  England,"  17 October 2022, 12pm","Contract value £1,000,000 to £3,750,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/f0e22026-7db7-48d7-bb17-612a294e732e?origin=SearchResults&p=14
Suffolk Visitor Economy Carbon Net Zero Impact Study,East Suffolk Council,  Opportunity,  Open,  IP12 1RT,"   4 October 2022, 12pm","Contract value £0 to £25,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/16832cf1-30aa-46f9-95fb-49503e1769e1?origin=SearchResults&p=14
Public and Patient Involvement and Engagement planning for Commercial Principles,NHS England,  Opportunity,  Open,  United Kingdom,"  28 September 2022, 12pm","Contract value £80,000","   8 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/ab53708b-2f18-477f-afb7-dfd75f8ec91c?origin=SearchResults&p=14
Trusted Assessor Training,Suffolk County Council Workforce Development,  Opportunity,  Open,  IP1 2BX,"  20 September 2022, 12pm","Contract value £25,000 to £39,000","   9 August 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/6bc28124-c17f-4fc4-ac94-3cf14cc980df?origin=SearchResults&p=14
703793451 CN PQQ Contracts Finder,Ministry of Defence,  Opportunity,  Open,  Any region,"  13 October 2022,  3pm","Contract value £39,000,000",  13 September 2022,https://www.contractsfinder.service.gov.uk/notice/0db01f97-3f1e-4b73-b939-207f4ad92e3f?origin=SearchResults&p=14
Tender for Whitgreave Street Housing Scheme West Bromwich,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B69 3DB,"  20 October 2022,  3pm","Contract value £1,520,000 to £1,900,000","   8 September 2022, last edited 13 September 2022",https://www.contractsfinder.service.gov.uk/notice/45d632ad-f5b5-46db-a87c-8e79f440fab7?origin=SearchResults&p=14
