OBJECTID,CONTROL_SECT_JOB,DISTRICT_NUMBER,COUNTY_NUMBER,HIGHWAY_NUMBER,PROJ_CLASS,TYPE_OF_WORK,LIMITS_FROM,LIMITS_TO,LAYMAN_DESCRIPTION1,LAYMAN_DESCRIPTION2,BEG_MILE_POINT,END_MILE_POINT,PRIORITY_CODE,DIST_LET_DATE,LET_SCH_1,LET_SCH_2,TRUNK_SYS_FLAG,FREIGHT,ENERGY,PROJ_LENGTH,RAIL_COORDINATION,ACTUAL_LET_DATE,CONTROL_SECTION,DISTRICT_NAME,COUNTY_NAME,PT_TOP100,NBR_LET_YEAR,NBR_LET_MONTH,NBR_TOTAL_MONTHS,FC,OFFCS,PT_PHASE,LOC_ERROR,TPP_WORK_PROGRAM,PRJ_TIER,PRJ_UTP,SHAPE_Length
8307,001403101,2,127,IH 35W,SFT,SAFETY IMPROVEMENT PROJECTS,BETHESDA ROAD,0.669 MILES NORTH OF HIDDEN CREEK.,HAZARD ELIMINATION & SAFETY,,17.843,21.62,,2111,2022,LA,N,,Y,3.907,N,2111,001403,Fort Worth,Johnson,0,2021,11,24263,19,14,Construction underway or begins soon,NO ERROR,2208,NA,,0.0573794753648134
8309,091404325,14,227,VA,TCD,TRAFFIC CONTROL DEVICES,CITY-WIDE IN AUSTIN,.,TRANSPORTATION NON-ROADWAY,,,,P,3308,,,N,,,0.1,N,,091404,Austin,Travis,0,2033,8,24404,19,914,"Corridor Studies, construction in 10+ years",INVALID LOCATION MEASURE,,NA,,0
8310,091635223,16,178,CS,SFT,SAFETY IMPROVEMENT PROJECTS,ON STAPLES FROM HOLLY ROAD,HOLLY ROAD,HAZARD ELIMINATION & SAFETY,,0,0.1,C,2103,2021,LA,N,,,0.4,N,2103,091635,Corpus Christi,Nueces,0,2021,3,24255,19,916,Construction underway or begins soon,ROUTE NOT FOUND,2108,NA,,0
8311,010408025,24,189,US 67,SFT,SAFETY IMPROVEMENT PROJECTS,25.02 MI N OF FM 170,22.929 MI N OF FM 170,HAZARD ELIMINATION & SAFETY,,33.265,35.354,,2103,2021,LA,Y,,Y,2.089,N,2103,010408,El Paso,Presidio,0,2021,3,24255,19,104,Construction underway or begins soon,PARTIAL MATCH FOR THE FROM-MEASURE,2108,NA,,0.0132643634030728
8312,003807078,21,214,US 83,OV,OVERLAY,FM 3167,CHARCO BLANCO RD.,PREVENTIVE MAINTENANCE,,27.134,28.694,C,2501,,,Y,,,1.55,N,,003807,Pharr,Starr,0,2025,1,24301,19,38,Construction begins within 4 years,NO ERROR,2301,NA,1,0.0247941784805359
8313,020907048,9,161,FM 933,SC,SEAL COAT,MCLENNAN CL,FM 308,SEAL COAT,,0.02,12.038,P,4909,,,N,,,0,N,,020907,Waco,McLennan,0,2049,9,24597,19,209,"Corridor Studies, construction in 10+ years",NO ERROR,2301,NA,,0.185942065741891
8315,091405201,14,246,CS,IOI,INTERSECTION & OPERATIONAL IMPRV,AT LAKEWAY DRIVE INTERSECTION,.,HIGHWAY IMPROVEMENT,,2.003,2.003,C,2111,2022,RE,N,,,0,N,2111,091405,Austin,Williamson,0,2021,11,24263,19,914,Construction underway or begins soon,ROUTE NOT FOUND,2207,NA,,0
8316,008303056,1,113,SH 154,SFT,SAFETY IMPROVEMENT PROJECTS,RADIO RD,SH11,HAZARD ELIMINATION & SAFETY,,3.168,4.096,C,2103,2021,LA,N,Y,N,1.181,N,2103,008303,Paris,Hopkins,0,2021,3,24255,19,83,Construction underway or begins soon,MEASURE EXTENT OUT OF ROUTE MEASURE RANGE,2108,NA,,0
8317,011707042,11,114,SH 21,SC,SEAL COAT,2.48 MILES EAST OF FM 2967,SH 7 EAST,RESURFACE ROADWAY,,0.074,5.509,C,2411,2025,,Y,,,0,N,,011707,Lufkin,Houston,0,2024,11,24299,19,117,Construction begins within 4 years,NO ERROR,2501,NA,1,0.0868451702239383
8319,027503069,4,33,IH 40,SC,SEAL COAT,CO RD (K),1.2 MI WEST OF FM 2880,SEAL COAT,,10.954,20.937,C,2011,2021,LA,Y,,,9.983,N,2011,027503,Amarillo,Carson,0,2020,11,24251,19,275,Construction underway or begins soon,PARTIAL MATCH FOR THE TO-MEASURE,2101,NA,,0.17522280978611
8321,091847247,18,57,CS,SFT,SAFETY IMPROVEMENT PROJECTS,HARRY HINES BLVD AT MARKET CENTER,IN THE CITY OF DALLAS,TRAFFIC SIGNAL IMPROVEMENTS,,19.168,19.168,C,2108,2021,LA,N,,,0,N,2108,091847,Dallas,Dallas,0,2021,8,24260,19,918,Construction underway or begins soon,ROUTE NOT FOUND,2108,NA,,0
8323,022903040,6,52,US 385,WNF,WIDEN NON-FREEWAY,LATCH RANCH ROAD,UPTON COUNTY LINE,HIGHWAY IMPROVEMENT,,31.457,32.312,C,2303,2023,,Y,,Y,0.864,N,,022903,Odessa,Crane,0,2023,3,24279,19,229,Construction begins within 4 years,NO ERROR,04CN,NA,1,0.0128626230652905
8324,026305024,8,77,SH 70,BR,BRIDGE REPLACEMENT,PLUM CREEK,.,BRIDGE REPLACEMENT,,9.473,9.496,C,2206,2022,LA,N,,Y,,N,2206,026305,Abilene,Fisher,0,2022,6,24270,19,263,Construction underway or begins soon,NO ERROR,2206,NA,,0.000336462608909085
8325,118103040,2,127,FM 917,SFT,SAFETY IMPROVEMENT PROJECTS,CR 806,IH 35W,HAZARD ELIMINATION & SAFETY,,14.618,7.654,C,2208,2022,LA,N,,Y,2.226,N,2208,118103,Fort Worth,Johnson,0,2022,8,24272,19,1181,Construction underway or begins soon,PARTIAL MATCH FOR THE FROM-MEASURE,2208,NA,,0.00385570740301213
8326,035406030,6,2,SH 115,SFT,SAFETY IMPROVEMENT PROJECTS,AT FM 181,.,CONSTRUCT BRIDGE,,15.355,15.555,C,2208,2022,LA,N,N,Y,1.628,N,2208,035406,Odessa,Andrews,0,2022,8,24272,19,354,Construction underway or begins soon,NO ERROR,2208,NA,,0.00332148953527641
8328,091822163,18,71,CS,BR,BRIDGE REPLACEMENT,HAMPTON RD AT LITTLE CREEK,.,BRIDGE REPLACEMENT,,,,C,2409,,,N,,,0,N,,091822,Dallas,Ellis,0,2024,9,24297,19,918,Construction begins within 4 years,INVALID LOCATION MEASURE,2506,NA,1,0
8329,255204050,24,72,SL 375,SFT,SAFETY IMPROVEMENT PROJECTS,0.185 MI E OF US 54,0.601 MI W OF US 54,HAZARD ELIMINATION & SAFETY,,9.826,10.611,C,2009,2021,LA,N,,,0.786,N,2009,255204,El Paso,El Paso,0,2020,9,24249,19,2552,Construction underway or begins soon,NO ERROR,2108,NA,,0.0129553328457778
8330,104601039,24,72,FM 659,SFT,SAFETY IMPROVEMENT PROJECTS,0.013 MI S OF US 62,SUNFIRE BLVD,HAZARD ELIMINATION & SAFETY,,0.048,4.317,C,2107,2021,LA,N,,,4.232,N,2107,104601,El Paso,El Paso,0,2021,7,24259,19,1046,Construction underway or begins soon,NO ERROR,2108,NA,,0.0669481226957132
8331,000803123,2,184,US 180,RER,REHABILITATION OF EXISTING ROAD,WEST OF SPUR 312,EAST OF ELM ST.,ROADWAY REHABILITATION/RECONSTRUCTION WITH NO ADDED CAPACITY,,0.919,2.063,D,2609,,,N,,Y,1.16,N,,000803,Fort Worth,Parker,0,2026,9,24321,19,8,Construction begins in 5 to 10 years,NO ERROR,2701,NA,1,0.0196402302516317
8333,008619034,16,126,FM 665,SFT,SAFETY IMPROVEMENT PROJECTS,.838 MI W OF FM 1931,NUECES CO LINE,HAZARD ELIMINATION & SAFETY,,2.273,9.669,C,2009,2021,LA,N,,,7.39,N,2009,008619,Corpus Christi,Jim Wells,0,2020,9,24249,19,86,Construction underway or begins soon,PARTIAL MATCH FOR THE TO-MEASURE,2108,NA,,0.120057161523824
8334,143001028,21,245,FM 490,SC,SEAL COAT,FM 1425,BUS 77,PREVENTIVE MAINTENANCE,,4.004,8.707,C,2209,2023,,N,,,0,N,2209,143001,Pharr,Willacy,0,2022,9,24273,7,1430,Construction underway or begins soon,PARTIAL MATCH FOR THE TO-MEASURE,2301,NA,1,0.0757360612770721
8335,286801012,9,161,FM 2837,SC,SEAL COAT,IH 35,US 77,PREVENTIVE MAINTENANCE,,10.037,17.514,C,2009,2021,LA,N,,,7.477,N,2009,286801,Waco,McLennan,0,2020,9,24249,19,2868,Construction underway or begins soon,PARTIAL MATCH FOR THE TO-MEASURE,2101,NA,,0.123183303303659
8336,006404043,11,203,SH 21,SC,SEAL COAT,SH 147 N.,FM 1,RESURFACE ROADWAY,,12.464,19.269,C,2111,2022,LA,N,,Y,0,N,2111,006404,Lufkin,San Augustine,0,2021,11,24263,19,64,Construction underway or begins soon,NO ERROR,2201,NA,,0.110546852975369
8337,168003029,11,203,FM 1751,SFT,SAFETY IMPROVEMENT PROJECTS,US 96,FM 83,HIGHWAY IMPROVEMENT,,0,14.919,C,2009,2021,LA,N,,Y,14.909,N,2009,168003,Lufkin,San Augustine,0,2020,9,24249,19,1680,Construction underway or begins soon,PARTIAL MATCH FOR THE TO-MEASURE,2108,NA,,0.22263121836878
8338,168504024,20,146,FM 1960,SFT,SAFETY IMPROVEMENT PROJECTS,AT CR 622,.,TRAFFIC SIGNAL IMPROVEMENTS,,2.816,3.016,C,2101,2021,LA,N,,,0.2,N,2101,168504,Beaumont,Liberty,0,2021,1,24253,19,1685,Construction underway or begins soon,NO ERROR,2108,NA,,0.00333664147381066
8341,183501026,9,14,FM 93,WNF,WIDEN NON-FREEWAY,WHEAT ROAD,SH 317,CONSTRUCT NEW ROAD,,7.964,9.984,D,2701,,,N,Y,N,6.037,N,,183501,Waco,Bell,0,2027,1,24325,19,1835,Construction begins in 5 to 10 years,NO ERROR,02MU,2,1,0.03355741536842
8342,018703071,13,8,SH 36,TCD,TRAFFIC CONTROL DEVICES,AT SCHMIDT RD,.,TRAFFIC SIGNAL IMPROVEMENTS,,8.174,8.374,C,2012,2021,LA,Y,N,N,0.2,N,2012,018703,Yoakum,Austin,0,2020,12,24252,19,187,Construction underway or begins soon,NO ERROR,2108,NA,,0.0029666195232713
8343,090290162,2,220,VA,SFT,SAFETY IMPROVEMENT PROJECTS,VARIOUS LOCATIONS IN TARRANT COUNTY,.,REPLACE GUARDRAIL,,,,P,3611,,,,,,,N,,090290,Fort Worth,Tarrant,0,2036,11,24443,19,902,"Corridor Studies, construction in 10+ years",INVALID LOCATION MEASURE,,NA,,0
8344,109905038,10,108,US 175,SC,SEAL COAT,"0.4 MI W OF FM 1616, E AND S",US 175(S)/SH 19 IN ATHENS,PREVENTIVE MAINTENANCE,,25.589,29.459,C,2012,2021,LA,Y,,,,N,2012,109905,Tyler,Henderson,0,2020,12,24252,19,1099,Construction underway or begins soon,NO ERROR,2101,NA,,0.0600122527777883
8345,026514014,13,76,BS 71-E,TCD,TRAFFIC CONTROL DEVICES,AT MAIN ST IN LA GRANGE,.,TRAFFIC SIGNAL IMPROVEMENTS,,25.425,25.425,C,2012,2021,LA,N,N,N,0.001,N,2012,026514,Yoakum,Fayette,0,2020,12,24252,19,265,Construction underway or begins soon,ZERO LENGTH EXTENT,2111,NA,,0
8346,104601038,24,72,FM 659,SFT,SAFETY IMPROVEMENT PROJECTS,AT ESCOBAR DR,.,HAZARD ELIMINATION & SAFETY,,,,C,2106,2021,LA,N,,,0.2,N,2106,104601,El Paso,El Paso,0,2021,6,24258,19,1046,Construction underway or begins soon,INVALID LOCATION MEASURE,2108,NA,,0
8347,020408066,17,166,US 79,SFT,SAFETY IMPROVEMENT PROJECTS,AT CR 355 LOOP,.,HAZARD ELIMINATION & SAFETY,,2.964,3.364,C,2108,2021,LA,Y,,,0.4,N,2108,020408,Bryan,Milam,0,2021,8,24260,19,204,Construction underway or begins soon,NO ERROR,2108,NA,,0.0061395996089161
8348,024405041,20,176,US 190,SC,SEAL COAT,"FM 2626, EAST",SABINE RIVER BRIDGE,SEAL COAT,,8.553,13.54,C,2009,2021,LA,N,,,4.99,N,2009,024405,Beaumont,Newton,0,2020,9,24249,19,244,Construction underway or begins soon,PARTIAL MATCH FOR THE TO-MEASURE,2101,NA,,0.0788488733578602
8350,004707238,18,57,US 75,SFT,SAFETY IMPROVEMENT PROJECTS,AT FITZHUGH AVE,IN THE CITY OF DALLAS,TRAFFIC SIGNAL IMPROVEMENTS,,12.926,13.126,C,2206,2022,LA,N,,,0.2,N,2206,004707,Dallas,Dallas,1,2022,6,24270,19,47,Construction underway or begins soon,NO ERROR,2208,NA,,0.00299994947562022
8351,143301031,15,15,FM 2252,SFT,SAFETY IMPROVEMENT PROJECTS,O'CONNOR RD,EL CHARRO ST,HAZARD ELIMINATION & SAFETY,,14.273,14.604,C,2206,2022,LA,N,,,0.331,N,2206,143301,San Antonio,Bexar,0,2022,6,24270,19,1433,Construction underway or begins soon,NO ERROR,2208,NA,,0.00520073447059349
8355,325101009,4,188,SS 468,SC,SEAL COAT,IH 40,AIRPORT BLVD,PREVENTIVE MAINTENANCE,,0.056,2.405,C,3511,,,N,,,2.35,N,,325101,Amarillo,Potter,0,2035,11,24431,19,3251,"Corridor Studies, construction in 10+ years",NO ERROR,2101,NA,,0.037665832865821
8357,091847255,18,57,CS,SFT,SAFETY IMPROVEMENT PROJECTS,ELM ST AT ST PAUL ST,IN THE CITY OF DALLAS,TRAFFIC SIGNAL IMPROVEMENTS,,1.22,1.22,C,2204,2022,LA,N,,,0,N,2204,091847,Dallas,Dallas,0,2022,4,24268,19,918,Construction underway or begins soon,ROUTE NOT FOUND,2208,NA,,0
8358,169001127,1,139,US 82,SFT,SAFETY IMPROVEMENT PROJECTS,BU 82H W,BU 82H E,HAZARD ELIMINATION & SAFETY,,0.005,6.853,C,2106,2021,LA,Y,Y,N,6.869,N,2106,169001,Paris,Lamar,0,2021,6,24258,19,1690,Construction underway or begins soon,NO ERROR,2108,NA,,0.112487376408377
8359,047903019,6,151,SH 302,WNF,WIDEN NON-FREEWAY,FM 1933 E,WINKLER COUNTY LINE,HIGHWAY IMPROVEMENT,,3.127,20.337,P,3501,,,N,,Y,,N,,047903,Odessa,Loving,0,2035,1,24421,19,479,"Corridor Studies, construction in 10+ years",NO ERROR,,NA,,0.286776987973121
8360,266801011,11,204,FM 2666,SC,SEAL COAT,SH 150,FM 2025,RESURFACE ROADWAY,,0,7.241,C,2011,2021,LA,N,,,0,N,2011,266801,Lufkin,San Jacinto,0,2020,11,24251,19,2668,Construction underway or begins soon,NO ERROR,2101,NA,,0.12042613145806
8362,022005080,21,31,SH 48,SFT,SAFETY IMPROVEMENT PROJECTS,SH 4,FM 511,HAZARD ELIMINATION & SAFETY,,2.861,6.748,C,2508,2025,,N,Y,N,0,N,,022005,Pharr,Cameron,0,2025,8,24308,19,220,Construction begins within 4 years,NO ERROR,2508,NA,1,0.0604698736172851
8363,050804177,20,124,SH 73,OV,OVERLAY,"KCS RR CROSSING,  EAST",25TH STREET,SURFACING/ROADWAY RESTORATION,,29.024,31.467,C,2311,,,N,,,,N,,050804,Beaumont,Jefferson,0,2023,11,24287,19,508,Construction begins within 4 years,NO ERROR,2401,NA,1,0.0398850901991455
8365,022603061,4,180,US 385,SP2,SUPER-2 HIGHWAY,SOUTH OF CANADIAN RIVER BRIDGE,RM 1061,REHABILITATE EXISTING ROADWAY,,9.04,10.074,,2112,2022,LA,N,,,1.034,N,2112,022603,Amarillo,Oldham,0,2021,12,24264,19,226,Construction underway or begins soon,NO ERROR,2201,NA,,0.0153989327012959
8366,233902012,19,34,FM 1841,SFT,SAFETY IMPROVEMENT PROJECTS,FM 251,FM 249,HAZARD ELIMINATION & SAFETY,,14.911,23.306,C,2104,2021,LA,N,N,N,8.395,N,2104,233902,Atlanta,Cass,0,2021,4,24256,19,2339,Construction underway or begins soon,NO ERROR,2108,NA,,0.127329814041805
8367,032904009,21,125,FM 649,SC,SEAL COAT,WEBB/JIM HOGG COUNTY LINE,SH 16,PREVENTIVE MAINTENANCE,,0,13.417,C,2209,2023,,N,,,13.4,N,2209,032904,Pharr,Jim Hogg,0,2022,9,24273,19,329,Construction underway or begins soon,NO ERROR,2301,NA,1,0.196821378571443
8368,178701017,9,18,FM 56,SC,SEAL COAT,SH 174,FM 1859,PREVENTIVE MAINTENANCE,,0.005,2.3,C,2009,2021,LA,N,,Y,2.295,N,2009,178701,Waco,Bosque,0,2020,9,24249,19,1787,Construction underway or begins soon,NO ERROR,2101,NA,,0.0365307761287132
8369,000704131,23,68,IH 20,SC,SEAL COAT,FM 570 (NFR),0.04 MI W OF LOOP 254 W,PREVENTIVE MAINTENANCE,,20.019,25.396,C,2011,2021,LA,Y,,Y,5.376,N,2011,000704,Brownwood,Eastland,0,2020,11,24251,19,7,Construction underway or begins soon,NO ERROR,2101,NA,,0.0894614822548981
8370,244601030,17,21,SH 30,SFT,SAFETY IMPROVEMENT PROJECTS,BS 6-R,SH 6,HAZARD ELIMINATION & SAFETY,,0,1.495,C,2206,2022,LA,N,,,1.495,N,2206,244601,Bryan,Brazos,0,2022,6,24270,19,2446,Construction underway or begins soon,NO ERROR,2208,NA,,0.0234298951404055
8371,034203040,21,31,SH 107,WNF,WIDEN NON-FREEWAY,HIDALGO/CAMERON CL,LOUISIANA ST.,WIDEN ROAD - ADD LANES,,0,1.803,D,2908,,,N,Y,N,0,N,,034203,Pharr,Cameron,0,2029,8,24356,19,342,Construction begins in 5 to 10 years,NO ERROR,2301,NA,1,0.0290078941310552
8373,011801023,11,114,SH 21,SC,SEAL COAT,SL 304,2.564 MILES SOUTH OF FM 1733,RESURFACE ROADWAY,,1.597,9.232,C,2211,2023,LA,N,,,0,N,,011801,Lufkin,Houston,0,2022,11,24275,19,118,Construction begins within 4 years,NO ERROR,2301,NA,1,0.120010191106133
8374,091512650,15,15,CS,SFT,SAFETY IMPROVEMENT PROJECTS,ON SANTA ROSA ST AT MARTIN ST,.,HAZARD ELIMINATION & SAFETY,,,,C,2108,2021,LA,N,,,0.2,N,2108,091512,San Antonio,Bexar,0,2021,8,24260,19,915,Construction underway or begins soon,INVALID LOCATION MEASURE,2108,NA,,0
8375,005003107,17,94,SH 6,SFT,SAFETY IMPROVEMENT PROJECTS,AT FM 1227,.,HAZARD ELIMINATION & SAFETY,,9.182,9.382,C,2009,2021,LA,N,,,0.2,N,2009,005003,Bryan,Grimes,0,2020,9,24249,19,50,Construction underway or begins soon,NO ERROR,2108,NA,,0.00291344281352952
8376,090600203,6,69,VA,BMN,BRIDGE MAINTENANCE,DISTRICTWIDE,.,BRIDGE MAINTENANCE,,,,C,2101,2021,,,,,,N,2101,090600,Odessa,Ector,0,2021,1,24253,19,906,Construction underway or begins soon,INVALID LOCATION MEASURE,2101,NA,,0
8377,090119205,1,92,CS,BR,BRIDGE REPLACEMENT,S TRAVIS STREET,AT POST OAK CREEK,BRIDGE REPLACEMENT,,24.437,24.437,C,2204,2022,LA,N,N,,0.253,N,2204,090119,Paris,Grayson,0,2022,4,24268,19,901,Construction underway or begins soon,ROUTE NOT FOUND,LOCAL,NA,,0
8378,246701013,7,41,RM 2059,SFT,SAFETY IMPROVEMENT PROJECTS,RM 1672,SH 158,HAZARD ELIMINATION & SAFETY,,9.979,25.722,C,2206,2022,LA,N,,Y,15.743,N,2206,246701,San Angelo,Coke,0,2022,6,24270,19,2467,Construction underway or begins soon,NO ERROR,2208,NA,,0.245928942079823
8379,011412012,12,102,US 290,OV,OVERLAY,WALLER COUNTY LINE,EAST OF HEGAR ROAD,SURFACING/ROADWAY RESTORATION,,0,6.516,C,2402,2024,,Y,,,6.534,N,,011412,Houston,Harris,0,2024,2,24290,19,114,Construction begins within 4 years,NO ERROR,2401,NA,1,0.105195724545069
8380,148701008,1,75,FM 1552,RER,REHABILITATION OF EXISTING ROAD,SH 78,END OF MNT,REHABILITATE EXISTING ROADWAY,,5,7.434,C,2105,2021,,N,,,2.436,N,2105,148701,Paris,Fannin,0,2021,5,24257,19,1487,Construction underway or begins soon,NO ERROR,2101,NA,,0.0410104845424926
8382,011410098,17,239,US 290,SFT,SAFETY IMPROVEMENT PROJECTS,AT MALINSOWSKI LANE,.,HAZARD ELIMINATION & SAFETY,,29.976,30.276,C,2009,2021,LA,Y,,,0.3,N,2009,011410,Bryan,Washington,0,2020,9,24249,19,114,Construction underway or begins soon,NO ERROR,2108,NA,,0.00495838575054542
8383,227902020,7,53,US 190,SFT,SAFETY IMPROVEMENT PROJECTS,PECOS CL,RM 137,HAZARD ELIMINATION & SAFETY,,0,26.87,C,2206,2022,LA,N,,Y,26.87,N,2206,227902,San Angelo,Crockett,0,2022,6,24270,19,2279,Construction underway or begins soon,NO ERROR,2208,NA,,0.448962539226086
8384,180402029,21,109,FM 1926,OV,OVERLAY,FM 1924,SH 495,PREVENTIVE MAINTENANCE,,4.449,6.409,C,3209,,,N,,,,N,,180402,Pharr,Hidalgo,0,2032,9,24393,19,1804,"Corridor Studies, construction in 10+ years",NO ERROR,2301,NA,,0.0284877914269318
8385,004901095,9,161,SH 6,RER,REHABILITATION OF EXISTING ROAD,SH 164,FALLS COUNTY LINE,SURFACING/ROADWAY RESTORATION,,39.591,44.224,C,2509,,,Y,,,4.633,N,,004901,Waco,McLennan,0,2025,9,24309,19,49,Construction begins within 4 years,NO ERROR,2601,NA,1,0.0706119975114763
8386,072502022,1,190,FM 514,SC,SEAL COAT,FM 275 S,SH 19,PREVENTIVE MAINTENANCE,,8.743,10.93,C,2012,2021,LA,N,N,,2.185,N,2012,072502,Paris,Rains,0,2020,12,24252,19,725,Construction underway or begins soon,NO ERROR,2101,NA,,0.03734939877
8387,155601026,16,178,FM 24,SFT,SAFETY IMPROVEMENT PROJECTS,.189 MI N OF CR 44,SH 44,HAZARD ELIMINATION & SAFETY,,8.135,9.994,,2108,2021,LA,N,,,1.876,N,2108,155601,Corpus Christi,Nueces,0,2021,8,24260,19,1556,Construction underway or begins soon,NO ERROR,2108,NA,,0.0270290441797161
8388,101301038,18,43,FM 546,IOI,INTERSECTION & OPERATIONAL IMPRV,AT FM 3286 INTERSECTION,.,INTERSECTION IMPROVEMENT,,9.96,10.663,C,2301,2023,,N,,,0.84,N,,101301,Dallas,Collin,0,2023,1,24277,19,1013,Construction begins within 4 years,NO ERROR,2308,NA,1,0.0110797210375133
8389,091100096,11,3,VA,TCD,TRAFFIC CONTROL DEVICES,VARIOUS LOCATIONS DISTRICTWIDE,.,HIGHWAY IMPROVEMENT,,,,C,2402,2024,,,,,,N,,091100,Lufkin,Angelina,0,2024,2,24290,19,911,Construction begins within 4 years,INVALID LOCATION MEASURE,2401,NA,1,0
8390,083904013,13,62,FM 951,BR,BRIDGE REPLACEMENT,SOUTH FORK QUEENS CREEK,STR# 130620083904008,BRIDGE REPLACEMENT,,3.351,3.351,C,2302,2023,,N,,,0.1,N,,083904,Yoakum,De Witt,0,2023,2,24278,19,839,Construction begins within 4 years,ZERO LENGTH EXTENT,2306,NA,1,0
8391,000703097,23,68,IH 20,SFT,SAFETY IMPROVEMENT PROJECTS,CALLAHAN C/L,.3 MI E OF FM 570,HAZARD ELIMINATION & SAFETY,,0.148,20.037,C,2102,2021,LA,Y,,Y,19.888,N,2102,000703,Brownwood,Eastland,0,2021,2,24254,19,7,Construction underway or begins soon,NO ERROR,2108,NA,,0.337728068815947
8392,112902019,17,26,FM 2000,SFT,SAFETY IMPROVEMENT PROJECTS,FM 1362,SH 21,HAZARD ELIMINATION & SAFETY,,7.746,20.673,C,2103,2021,LA,N,,,12.921,N,2103,112902,Bryan,Burleson,0,2021,3,24255,19,1129,Construction underway or begins soon,PARTIAL MATCH FOR THE TO-MEASURE,2108,NA,,0.19548556431989
8393,005705030,17,82,US 84,SC,SEAL COAT,FM 1364,FM 489,SEAL COAT,,26.82,32.935,C,2110,2022,LA,N,,,0,N,2110,005705,Bryan,Freestone,0,2021,10,24262,19,57,Construction underway or begins soon,NO ERROR,2201,NA,,0.10238108863999
8394,041002040,1,92,SH 160,SC,SEAL COAT,SH 11,COLLIN COUNTY LINE,PREVENTIVE MAINTENANCE,,7.86,15.2,C,2012,2021,LA,N,N,,7.34,N,2012,041002,Paris,Grayson,0,2020,12,24252,19,410,Construction underway or begins soon,PARTIAL MATCH FOR THE TO-MEASURE,2101,NA,,0.100545201784259
8395,156302019,17,198,FM 1644,SFT,SAFETY IMPROVEMENT PROJECTS,AT FM 485,.,HAZARD ELIMINATION & SAFETY,,1,1.148,C,2012,2021,LA,N,,,0.148,N,2012,156302,Bryan,Robertson,0,2020,12,24252,19,1563,Construction underway or begins soon,NO ERROR,2108,NA,,0.00224850736629265
8396,257401047,7,226,RM 584,SFT,SAFETY IMPROVEMENT PROJECTS,US 87,US 277,HAZARD ELIMINATION & SAFETY,,1.042,14.557,C,2205,2022,LA,N,,Y,13.514,N,2205,257401,San Angelo,Tom Green,0,2022,5,24269,19,2574,Construction underway or begins soon,NO ERROR,2208,NA,,0.213252342628024
8397,019906002,10,37,FM 1911,SC,SEAL COAT,"0.74 MILES EAST OF FM 1247, SOUTH",US 69,PREVENTIVE MAINTENANCE,,10.523,12.976,C,2012,2021,LA,N,,Y,,N,2012,019906,Tyler,Cherokee,0,2020,12,24252,19,199,Construction underway or begins soon,NO ERROR,2101,NA,,0.0410949608137133
8399,001306047,2,249,US 81,SFT,SAFETY IMPROVEMENT PROJECTS,0.3 MILES NORTH OF CR 1591,CR 1591,INSTALL TRAFFIC SIGNAL,,3.235,3.535,C,2104,2021,LA,Y,,Y,0.3,N,2104,001306,Fort Worth,Wise,0,2021,4,24256,19,13,Construction underway or begins soon,NO ERROR,2108,NA,,0.00452365607376463
8400,011604103,17,21,SH 21,SFT,SAFETY IMPROVEMENT PROJECTS,AT SMETANA ROAD,.,HAZARD ELIMINATION & SAFETY,,5.863,6.265,C,2009,2021,LA,N,,,0.4,N,2009,011604,Bryan,Brazos,0,2020,9,24249,19,116,Construction underway or begins soon,NO ERROR,2108,NA,,0.0067424593539429
8401,331401008,20,146,FM 1909,SC,SEAL COAT,"FM 160, SOUTH",US 90,SEAL COAT,,5.002,6.019,C,2009,2021,LA,N,,,1.02,N,2009,331401,Beaumont,Liberty,0,2020,9,24249,19,3314,Construction underway or begins soon,NO ERROR,2101,NA,,0.0150331360623927
8402,115503011,8,115,FM 1785,WNF,WIDEN NON-FREEWAY,US 87,BORDEN CO LINE,WIDEN ROAD - ADD SHOULDERS,,0.621,7.705,,2107,2021,LA,N,,Y,7.233,N,2107,115503,Abilene,Howard,0,2021,7,24259,19,1155,Construction underway or begins soon,NO ERROR,11PES,NA,,0.120582064926437
8403,092102437,21,109,CS,WNF,WIDEN NON-FREEWAY,"ON MOORE RD. EAST, FROM CAGE RD.","""I"" RD.",WIDEN ROAD - ADD LANES,,,,D,3101,,,N,,,0,N,,092102,Pharr,Hidalgo,0,2031,1,24373,19,921,Construction begins in 5 to 10 years,INVALID LOCATION MEASURE,2807,NA,1,0
8404,063001056,21,31,SH 345,SFT,SAFETY IMPROVEMENT PROJECTS,AT HUIE RD.,.,INSTALL FLASHING BEACON,,2.047,2.244,C,2005,2020,LA,N,N,N,0.2,N,2005,063001,Pharr,Cameron,0,2020,5,24245,19,630,Construction underway or begins soon,NO ERROR,2008,NA,,0.00286538458448018
8405,091320095,13,8,CR,BR,BRIDGE REPLACEMENT,AT DRAW,STR# AA03-26-002 (NELIUS RD),BRIDGE REPLACEMENT,,1.662,1.662,C,2205,2022,LA,N,,,0.1,N,2205,091320,Yoakum,Austin,0,2022,5,24269,19,913,Construction underway or begins soon,ROUTE NOT FOUND,2206,NA,,0
