doc_id,notice_status,cpv_code,country_iso,town_iso,project_name,title,notice_publication_number,publication_date,oj_s__issue_number,town_city_of_the_buyer,Official name of the buyer,original_language,country_of_the_buyer,type_of_buyer,eu_institution_agency,document_sent,type_of_contract,type_of_procedure,notice_type,regulation,type_of_bid,award_criteria,common_procurement_vocabulary_(cpv),place_of_performance_(nuts),internet_address_(url),legal_basis,deadline_date,latitude,longitude,document_id_1,publication_date_1,deadline_1,document_1,authority_Name_1,document_id_2,publication_date_2,deadline_2,document_2,authority_Name_2,document_id_3,publication_date_3,deadline_3,description,postal_code,email,amount,currency,og_notice_no,document_3,authority_Name_3,document_id_4,publication_date_4,deadline_4,document_4,authority_Name_4,document_id_5,publication_date_5,deadline_5,country_alpha,country_mfn,currency_code,converted_amount_usd
477517-2021,Active,,United Kingdom,Southampton,"Laboratory, optical and precision equipments (excl. glasses)","United Kingdom-Southampton: Laboratory, optical and precision equipments (excl. glasses)",477517-2021,21/09/2021,183,SOUTHAMPTON,University of Southampton,EN,UK,6 - Body governed by public law,-,16/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"38000000 - Laboratory, optical and precision equipments (excl. glasses)",UKUKJUKJ32,http://www.southampton.ac.uk,Public procurement Directive 2014/24/EU,nan,50.9025349,-1.404189,626765-2020,23/12/2020,16/02/2021,3 - Contract notice,University of Southampton,638078-2020,28/12/2020,16/02/2021,2 - Additional information,University of Southampton,477517-2021,21/09/2021,nan,The University of Southampton wishes to purchase a Scanning Electron Microscope for research purposes in it's Chemistry building.Full details of the requirements can be found in the File 4 specification.Access to documents is by way of registration on our e-tendering portal: https://in-tendhost.co.uk/universityofsouthampton/aspx/Home,SO17 1BJ,procurement@soton.ac.uk,666176.84,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
477516-2021,Active,,United Kingdom,Stirling,Library books,United Kingdom-Stirling: Library books,477516-2021,21/09/2021,183,STIRLING,APUC,EN,UK,6 - Body governed by public law,-,16/09/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,Z - Not specified,1 - Submission for all lots,2 - The most economic tender,22113000 - Library books22112000 - Textbooks,UKM,http://www.apuc-scot.ac.uk,Public procurement Directive 2014/24/EU,19/10/2021,56.1181242,-3.9360012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
477513-2021,Active,,United Kingdom,London,Urban development construction work,United Kingdom-London: Urban development construction work,477513-2021,21/09/2021,183,LONDON,GLA Land and Property Ltd (GLA) (a wholly owned subsidiary of Greater London Authority),EN,UK,3 - Regional or local authority,-,16/09/2021,1 - Works,C - Competitive dialogue,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,45211360 - Urban development construction work,UKI,http://www.london.gov.uk,Public procurement Directive 2014/24/EU,nan,51.5073219,-0.1276474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
477512-2021,Active,,United Kingdom,London,Urban development construction work,United Kingdom-London: Urban development construction work,477512-2021,21/09/2021,183,LONDON,GLA Land and Property Ltd (GLAP) (a wholly owned subsidiary of the Greater London Authority),EN,UK,3 - Regional or local authority,-,16/09/2021,1 - Works,V - Contract award without prior publication,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45211360 - Urban development construction work,UK,http://www.london.gov.uk,Public procurement Directive 2014/24/EU,nan,51.5073219,-0.1276474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Silvertown Quays (SQ) is a 50-acre brownfield site in Royal Docks, London owned by GLA. In June 2013, after a procurement process, GLA entered into a Master Development Agreement (MDA) with the developer, The Silvertown Partnership LLP (TSP). In June 2018, a joint venture of Starwood (SOF-11 Developments UK Holdco Lux S.à r.l.) (SW) and a group company of Lendlease Europe Holdings Ltd (LL) acquired control of TSP.  In 2018, the parties entered into documents including a Deed of Variation of the MDA; see Mayoral Decision 2280 30/05/2018 (https://www.london.gov.uk/decisions/md2280-silvertown-quays), VEAT notice published 09/06/2018 (https://ted.europa.eu/udl?uri=TED:NOTICE:247611-2018:HTML:EN:HTML&tabId=1&tabLang=en), CAN notice published 26/06/2018 (https://ted.europa.eu/udl?uri=TED:NOTICE:272398-2018:HTML:EN:HTML&tabId=1&tabLang=en). The parties have now made additional changes to the MDA, as described at II.2.4 below.  These changes are considered permissible under regulation 72 PCR.",E20 1JN,Bethan.James@royaldocks.london.gov.uk,3000000000.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
477511-2021,Active,,United Kingdom,Swindon,Electrical installation work,United Kingdom-Swindon: Electrical installation work,477511-2021,21/09/2021,183,SWINDON,Public Power Solutions Ltd,EN,UK,1 - Ministry or any other national or federal authority,-,16/09/2021,1 - Works,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,45310000 - Electrical installation work,UK,https://www.publicpowersolutions.co.uk/,Public procurement Directive 2014/24/EU,nan,51.5613683,-1.7856853,13419-2019,11/01/2019,10/02/2019,Y - Dynamic purchasing system,Public Power Solutions Ltd,389092-2020,18/08/2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
477510-2021,Active,,United Kingdom,Brislington,Construction work,United Kingdom-Brislington: Construction work,477510-2021,21/09/2021,183,BRISLINGTON,Bristol City Council,EN,UK,3 - Regional or local authority,-,16/09/2021,1 - Works,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45000000 - Construction work,UK,https://www.bristol.gov.uk/,Public procurement Directive 2014/24/EU,nan,51.433103,-2.5525781,512115-2018,21/11/2018,30/11/2021,3 - Contract notice,Bristol City Council,225694-2020,14/05/2020,nan,nan,nan,nan,nan,nan,Supply of Double Glazed Units and Sheet Glass  DPS,BS4 3NZ,jo.evans@bristol.gov.uk,41233.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
477509-2021,Active,,United Kingdom,Brislington,Joinery and carpentry installation work,United Kingdom-Brislington: Joinery and carpentry installation work,477509-2021,21/09/2021,183,BRISLINGTON,Bristol City Council,EN,UK,3 - Regional or local authority,-,16/09/2021,1 - Works,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45420000 - Joinery and carpentry installation work,UK,https://www.bristol.gov.uk/,Public procurement Directive 2014/24/EU,nan,51.433103,-2.5525781,128415-2019,20/03/2019,28/02/2023,3 - Contract notice,Bristol City Council,228315-2020,15/05/2020,nan,nan,nan,nan,nan,nan,Joinery - DPS,BS4 3NZ,jo.evans@bristol.gov.uk,35060.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
474852-2021,Active,,United Kingdom,Hull,Construction work,United Kingdom-Hull: Construction work,474852-2021,20/09/2021,182,HULL,Associated British Ports,EN,UK,4 - Utilities entity,-,15/09/2021,1 - Works,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45210000 - Building construction work45000000 - Construction work45200000 - Works for complete or part construction and civil engineering work,UKE,https://in-tendhost.co.uk/abp/aspx/Tenders/Current,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",nan,53.7435722,-0.3394758,511886-2020,27/10/2020,16/11/2020,3 - Contract notice,Associated British Ports,474852-2021,20/09/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
474851-2021,Active,,United Kingdom,Ivybridge,Payroll management services,United Kingdom-Ivybridge: Payroll management services,474851-2021,20/09/2021,182,IVYBRIDGE,Westcountry Schools Trust,EN,UK,8 - Other,-,15/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,79211110 - Payroll management services79631000 - Personnel and payroll services,UKK41,https://www.westst.org.uk/,Public procurement Directive 2014/24/EU,nan,50.3909452,-3.9245352297260263,626848-2020,23/12/2020,29/01/2021,3 - Contract notice,Westcountry Schools Trust,474851-2021,20/09/2021,nan,nan,nan,nan,nan,nan,"Westcountry Schools Trust are currently out to tender for the provision of Payroll, HR Admin and Associated ServicesThe Trust requires a Supplier to undertake the Payroll, HR Admin and Associated Services in accordance with good practice so as to provide a high service standard throughout the Trust for the benefit of their staff. Complete information regarding the Service Requirement for the Trust can be found in the Statement of Requirements which is part of the tender pack.The Supplier will be responsible for the provision of skilled payroll and HR administration personnel to provide an efficient, timely and proactive Payroll, HR Admin and Associated Services provision.  In addition, they will be required to provide day to day support to the Trust’s Central HR and Finance staff as well as named representatives (finance lead and HR admin lead) at each school.",PL21 0JA,tenders@minervapcs.com,676756,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
474850-2021,Active,,United Kingdom,Calderbridge,Radioactive waste treatment services,United Kingdom-Calderbridge: Radioactive waste treatment services,474850-2021,20/09/2021,182,CALDERBRIDGE,LLW Repository Ltd (5608448),EN,UK,6 - Body governed by public law,-,15/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,90521000 - Radioactive waste treatment services,UK,https://www.gov.uk/government/case-studies/shared-services-alliance-ssa-for-nuclear-decommissioning-estate,Public procurement Directive 2014/24/EU,nan,55.788650450000006,-3.913726385963673,60271-2020,06/02/2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LLW Repository Ltd (LLWR) is a waste management company that provides services to Customers to treat and dispose of low-level radioactive waste.Our customer base consists of nuclear industry and non-nuclear industry waste producers. LLWR intends to let a framework that will allow Customers to consign VLLW for disposal under their Waste Services Contract with LLWR. This is in line with the UK Nuclear Industry Low-Level Waste Strategy and the principles of the Waste Management Hierarchy.LLWR has a requirement to establish arrangements with companies that can provide the disposal of lower activity radioactive wastes. LLWR will issue Invitations to Tender to potential Service Providers that wish to support LLWR in delivering the VLLW Disposal Service to Customers.,CA20 1DB,naomi.cook@llwrsite.com,27000000.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
474849-2021,Active,,United Kingdom,Glasgow,Support services for road transport,United Kingdom-Glasgow: Support services for road transport,474849-2021,20/09/2021,182,GLASGOW,Transport Scotland,EN,UK,N - National or federal Agency/Office,-,15/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"30162000 - Smart cards79342300 - Customer services09310000 - Electricity34144900 - Electric vehicles63712000 - Support services for road transport50532000 - Repair and maintenance services of electrical machinery, apparatus and associated equipment31610000 - Electrical equipment for engines and vehicles71311200 - Transport systems consultancy services31158000 - Chargers51100000 - Installation services of electrical and mechanical equipment72253000 - Helpdesk and support services72000000 - IT services: consulting, software development, Internet and support50230000 - Repair, maintenance and associated services related to roads and other equipment31000000 - Electrical machinery, apparatus, equipment and consumables; lighting45310000 - Electrical installation work",UKM,http://www.transport.gov.scot,Public procurement Directive 2014/24/EU,nan,55.8609825,-4.2488787,26184-2020,20/01/2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Scottish Ministers have invested in the region of 30M GBP since 2011 to establish a comprehensive electric vehicle charging network across Scotland which now consists of over 1000 publically available charge points across the mainland and islands. This investment supports the ambition to phase out the need for new petrol and diesel cars and vans by 2032.Transport Scotland, on behalf of the Scottish Ministers, are now seeking to appoint a new Charge Point Network Operator (CPNO) (“single supplier”) for the management of the publically available electric vehicle charging network, known as ChargePlace Scotland.It has been concluded that these services would be best met through the procurement of a single-supplier framework agreement, which offers both the required flexibility and prompt response mechanism to meet demand, which is required for the ad-hoc nature of these services.It is intended that the framework agreement shall be for a period of 2 years, with the option for 2 further year long extensions, during which the Scottish Ministers shall be entitled to call-off services from the framework agreement. It is estimated the value of services to be called-off over the two year period, will be in the order of 2,500,000.00 GBP.",G4 0HF,CPS.CPNO@transport.gov.scot,1107169.54,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
474848-2021,Active,,United Kingdom,Brislington,Builders' joinery,United Kingdom-Brislington: Builders' joinery,474848-2021,20/09/2021,182,BRISLINGTON,Bristol City Council,EN,UK,3 - Regional or local authority,-,15/09/2021,2 - Supplies,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,44220000 - Builders' joinery,UK,https://www.bristol.gov.uk/,Public procurement Directive 2014/24/EU,nan,51.433103,-2.5525781,438277-2019,18/09/2019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Timber Supply Hardwoods and Timber Supply Soft Woods and Boards & Door Blanks.Bristol City Council produces high quality joinery manufactured in its own joinery shop. This DPS will be used to procure the quality timber products that will be used in the manufacture of joinery products for external use in doors, windows, framing, soffits and Fascia’s, in domestic property, as well as high profile public buildings such as Ashton Court, museums and Libraries throughout Bristol.The DPS will be run in 3 lots1)	 Supply and delivery of Soft wood timbers2)	Supply and delivery of Plywood, Door Blanks and Hardwoods3)	Supply and delivery of Hemlock",BS4 3NZ,jo.evans@bristol.gov.uk,149779.29,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
474847-2021,Active,,United Kingdom,Bristol,"Security, fire-fighting, police and defence equipment","United Kingdom-Bristol: Security, fire-fighting, police and defence equipment",474847-2021,20/09/2021,182,BRISTOL,Leidos Supply Limited,EN,UK,6 - Body governed by public law,-,15/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,"35100000 - Emergency and security equipment35000000 - Security, fire-fighting, police and defence equipment35800000 - Individual and support equipment35820000 - Support equipment",UK,https://leidos-supply.app.jaggaer.com,Public procurement Directive 2014/24/EU,nan,51.4538022,-2.5972985,91150-2020,24/02/2020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the ‘Prime Contract’). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together ‘Team Leidos’). This requirement is subject to the Public Procurement Regulations and respective advertising action. ,BS167FH,hannah.smith@leidos.com,460057.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
472392-2021,Active,,United Kingdom,Glenrothes,Actuarial services,United Kingdom-Glenrothes: Actuarial services,472392-2021,17/09/2021,181,GLENROTHES,Fife Council,EN,UK,3 - Regional or local authority,-,14/09/2021,4 - Services,1 - Open procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,66519600 - Actuarial services,UKM72,http://www.fifedirect.org.uk,Public procurement Directive 2014/24/EU,nan,56.1961905,-3.1716324,156521-2017,26/04/2017,29/05/2017,3 - Contract notice,Fife Council,302223-2017,02/08/2017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
472390-2021,Active,,United Kingdom,Stafford,Transport services (excl. Waste transport),United Kingdom-Stafford: Transport services (excl. Waste transport),472390-2021,17/09/2021,181,STAFFORD,"Staffordshire County Council. Staffordshire Place 2, Tipping Street, Stafford ST16 2DH",EN,UK,3 - Regional or local authority,-,14/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60100000 - Road transport services60000000 - Transport services (excl. Waste transport)60172000 - Hire of buses and coaches with driver,UK,http://www.staffordshire.gov.uk/business/procurement,Public procurement Directive 2014/24/EU,nan,52.8063157,-2.1163818,225728-2020,14/05/2020,11/06/2020,Y - Dynamic purchasing system,Staffordshire County Council,353082-2020,27/07/2020,nan,nan,nan,nan,nan,nan, Short description:The council invites Suppliers to tender to join a Dynamic Purchasing System (Known as DPS) for the provision of Transportation of the Public on Local Service Transport within Staffordshire.The DPS is run as a completely electronic process using the Authority's e sourcing solution (Proactis). This Award Notice is to advise the market of Call- Offs (Mini Competitions) that have been awarded from the DPS on a quarterly basis.,ST16 2DH,sharon.bowers@staffordshire.gov.uk,1010356.80,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
472389-2021,Active,,United Kingdom,Belfast,"Architectural, construction, engineering and inspection services","United Kingdom-Belfast: Architectural, construction, engineering and inspection services",472389-2021,17/09/2021,181,BELFAST,Education Authority NI,EN,UK,3 - Regional or local authority,-,13/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"71324000 - Quantity surveying services71312000 - Structural engineering consultancy services71321000 - Engineering design services for mechanical and electrical installations for buildings71200000 - Architectural and related services71541000 - Construction project management services71000000 - Architectural, construction, engineering and inspection services71220000 - Architectural design services",UKN0A,https://etendersni.gov.uk/epps,Public procurement Directive 2014/24/EU,nan,54.5964411,-5.9302761,460129-2020,30/09/2020,06/11/2020,3 - Contract notice,Education Authority NI,472389-2021,17/09/2021,nan,nan,nan,nan,nan,nan,"Appointment of a Project Manager led Integrated Consultant Team for the delivery of the New St Catherine's PS, Strabane, Co Tyrone. The Integrated Consultant Team to provide full professional design and management services for RIBA Plan of Work 2013 Stages 0-7 to include project management, provision of architectural, quantity surveying, structural, services engineering, civil and structural services for delivery of the proposed project.",BT1 2NQ,Kerry.Breen@eani.org.uk,640075.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
472388-2021,Active,,United Kingdom,Winchester,Cleaning services,United Kingdom-Winchester: Cleaning services,472388-2021,17/09/2021,181,WINCHESTER,Hampshire County Council,EN,UK,3 - Regional or local authority,-,13/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,90910000 - Cleaning services90911200 - Building-cleaning services90911300 - Window-cleaning services,UKJ3,www.hants.gov.uk,Public procurement Directive 2014/24/EU,nan,51.0612766,-1.3131692,13820-2018,12/01/2018,16/02/2018,3 - Contract notice,Hampshire County Council,336859-2018,02/08/2018,nan,nan,nan,nan,nan,nan,Lot 2 Cleaning and Window Cleaning Services to Educational and Non-Educational Sites,SO23 8UJ,county.supplies.buying@hants.gov.uk,1365563.40,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
472387-2021,Active,,United Kingdom,Stafford,Transport services (excl. Waste transport),United Kingdom-Stafford: Transport services (excl. Waste transport),472387-2021,17/09/2021,181,STAFFORD,"Staffordshire County Council. Staffordshire Place 2, Tipping Street, Stafford ST16 2DH",EN,UK,3 - Regional or local authority,-,14/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60100000 - Road transport services60000000 - Transport services (excl. Waste transport)60120000 - Taxi services60130000 - Special-purpose road passenger-transport services60172000 - Hire of buses and coaches with driver60171000 - Hire of passenger cars with driver,UK,http://www.staffordshire.gov.uk/business/procurement,Public procurement Directive 2014/24/EU,nan,52.8063157,-2.1163818,209196-2019,06/05/2019,31/08/2039,Y - Dynamic purchasing system,Staffordshire County Council,572010-2019,03/12/2019,nan,nan,nan,nan,nan,nan,The Council invites Suppliers to tender to join a Dynamic Purchasing System (Known as a DPs) for the provision of Transportation for service users (Childrens and Adult Services) within Staffordshire.This DPS is run as a completely electronic process using the Authority’s e Sourcing solution (Proactis) This Award Notice is to advise the market of Call - Offs (Mini Competitions) that have been awarded from the DPS on a quarterly basis. ,ST16 2DH,sharon.bowers@staffordshire.gov.uk,10793007.37,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
472386-2021,Active,,United Kingdom,Stafford,Transport services (excl. Waste transport),United Kingdom-Stafford: Transport services (excl. Waste transport),472386-2021,17/09/2021,181,STAFFORD,"Staffordshire County Council. Staffordshire Place 2, Tipping Street, Stafford ST16 2DH",EN,UK,3 - Regional or local authority,-,14/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60100000 - Road transport services60000000 - Transport services (excl. Waste transport)60120000 - Taxi services60130000 - Special-purpose road passenger-transport services60172000 - Hire of buses and coaches with driver60171000 - Hire of passenger cars with driver,UK,http://www.staffordshire.gov.uk/business/procurement,Public procurement Directive 2014/24/EU,nan,52.8063157,-2.1163818,209196-2019,06/05/2019,31/08/2039,Y - Dynamic purchasing system,Staffordshire County Council,572010-2019,03/12/2019,nan,nan,nan,nan,nan,nan,A Dynamic Purchasing System to deploy the supply of Home to School Transport provision in Staffordshire for pupils in Mainstream Education and Special Needs Education. This DPS may also include transport for Adult service users not limited to but including disabilities and mental health. Their may be a requirement for Passenger Assistants to assists on the SEN Transport dependant on the needs of the service user. This DPS is run as an electronic process using the Authority’s eSourcing solution (Staffordshire County Council E tender Portal). This procurement follows DPS procedures as set out in the Public Contracts Regulations 2015.,ST16 2DH,sharon.bowers@staffordshire.gov.uk,4025575.57,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
472385-2021,Active,,United Kingdom,Belfast,"Architectural, construction, engineering and inspection services","United Kingdom-Belfast: Architectural, construction, engineering and inspection services",472385-2021,17/09/2021,181,BELFAST,Education Authority NI,EN,UK,3 - Regional or local authority,-,14/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"71324000 - Quantity surveying services71312000 - Structural engineering consultancy services71321000 - Engineering design services for mechanical and electrical installations for buildings71200000 - Architectural and related services71541000 - Construction project management services71000000 - Architectural, construction, engineering and inspection services71220000 - Architectural design services",UKN06,https://etendersni.gov.uk/epps,Public procurement Directive 2014/24/EU,nan,54.5964411,-5.9302761,470526-2020,06/10/2020,11/11/2020,3 - Contract notice,Education Authority NI,472385-2021,17/09/2021,nan,nan,nan,nan,nan,nan,"Appointment of a Project Manager led Integrated Consultant Team for the delivery of the New St Patrick's College, Maghera, Co Derry,. The Integrated Consultant Team to provide full professional design and management services for RIBA Plan of Work 2013 Stages 0-7 to include project management, provision of architectural, quantity surveying, structural, services engineering, civil and structural services for delivery of the proposed project.",BT1 2NQ,Kerry.Breen@eani.org.uk,1459085.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
472384-2021,Active,,United Kingdom,Argyll,Tree-clearing services,United Kingdom-Argyll: Tree-clearing services,472384-2021,17/09/2021,181,ARGYLL,Argyll and the Isles Coast and Countryside Trust (ACT),EN,UK,8 - Other,-,14/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,77211300 - Tree-clearing services,UKM63,www.act-now.org.uk,Public procurement Directive 2014/24/EU,nan,50.9857639,-1.7219163430232558,309020-2021,18/06/2021,14/07/2021,3 - Contract notice,Argyll and the Isles Coast and Countryside Trust (ACT),472384-2021,17/09/2021,nan,nan,nan,nan,nan,nan,"Suitably qualified tenderers are invited to submit a tender for the ongoing control of Rhododendron ponticum from the Uragaig Common Grazing,North Colonsay SSSI, Isle of Colonsay",PA31 8RR,deb@act-now.org.uk,27904,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
472383-2021,Active,,United Kingdom,Belfast,"Architectural, construction, engineering and inspection services","United Kingdom-Belfast: Architectural, construction, engineering and inspection services",472383-2021,17/09/2021,181,BELFAST,Education Authority NI,EN,UK,3 - Regional or local authority,-,13/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"71324000 - Quantity surveying services71312000 - Structural engineering consultancy services71321000 - Engineering design services for mechanical and electrical installations for buildings71200000 - Architectural and related services71541000 - Construction project management services71000000 - Architectural, construction, engineering and inspection services71220000 - Architectural design services",UKN09,https://etendersni.gov.uk/epps,Public procurement Directive 2014/24/EU,nan,54.5964411,-5.9302761,428642-2020,11/09/2020,13/10/2020,3 - Contract notice,Education Authority NI,472383-2021,17/09/2021,nan,nan,nan,nan,nan,nan,"Appointment of a Project Manager led Integrated Consultant Team for the delivery of the new Glastry College, Ballyhalbert, Newtownards, Co Down,. Approximate services value is in the cost range £325,000.00 and £375,000.00. The Integrated Consultant Team to provide full professional services for RIBA Plan of Work 2013 Stages 0-7 to include project management, provision of architectural, quantity surveying, structural, services engineering, civil and structural services for delivery of the proposed School Enhancement Programme (SEP) project.",BT1 2NQ,Connor.ODonnell@eani.org.uk,269800.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
472382-2021,Active,,United Kingdom,Ripley,"IT services: consulting, software development, Internet and support","United Kingdom-Ripley: IT services: consulting, software development, Internet and support",472382-2021,17/09/2021,181,RIPLEY,The Police and Crime Commissioner for Derbyshire (n/a),EN,UK,6 - Body governed by public law,-,13/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"72000000 - IT services: consulting, software development, Internet and support",UK,https://uk.eu-supply.com/,Public procurement Directive 2014/24/EU,nan,53.0488393,-1.4302374270653362,88813-2020,21/02/2020,24/03/2020,3 - Contract notice,The Police and Crime Commissioner for Derbyshire (n/a),472382-2021,17/09/2021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
472381-2021,Active,,United Kingdom,Belfast,"Architectural, construction, engineering and inspection services","United Kingdom-Belfast: Architectural, construction, engineering and inspection services",472381-2021,17/09/2021,181,BELFAST,Education Authority NI,EN,UK,3 - Regional or local authority,-,13/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"71324000 - Quantity surveying services71312000 - Structural engineering consultancy services71321000 - Engineering design services for mechanical and electrical installations for buildings71200000 - Architectural and related services71541000 - Construction project management services71000000 - Architectural, construction, engineering and inspection services71220000 - Architectural design services",UKN06,https://etendersni.gov.uk/epps,Public procurement Directive 2014/24/EU,nan,54.5964411,-5.9302761,428661-2020,11/09/2020,13/10/2020,3 - Contract notice,Education Authority NI,472381-2021,17/09/2021,nan,nan,nan,nan,nan,nan,"Appointment of a Project Manager led Integrated Consultant Team for the delivery of the new Botantic PS, Belfast. Approximate services value is in the cost range £325,000.00 and £375,000.00. The Integrated Consultant Team to provide full professional services for RIBA Plan of Work 2013 Stages 0-7 to include project management, provision of architectural, quantity surveying, structural, services engineering, civil and structural services for delivery of the proposed School Enhancement Programme (SEP) project.",BT1 2NQ,Connor.Odonnell@eani.org.uk,269800.00,GBP,GBP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan, GBR, 826,,
